nohup: 忽略输入
Dataset: cora

# Run:0 with random seed:1
Epoch:0 Loss:1.06063910
Epoch:1 Loss:1.05193602
Epoch:2 Loss:1.05127837
Epoch:3 Loss:1.05064405
Epoch:4 Loss:1.04970019
Epoch:5 Loss:1.04879734
Epoch:6 Loss:1.04601578
Epoch:7 Loss:1.04046873
Epoch:8 Loss:1.03164927
Epoch:9 Loss:1.01956948
Epoch:10 Loss:1.00457984
Epoch:11 Loss:0.99343520
Epoch:12 Loss:0.98062662
Epoch:13 Loss:0.97302789
Epoch:14 Loss:0.96276482
Epoch:15 Loss:0.95933497
Epoch:16 Loss:0.94999782
Epoch:17 Loss:0.94333167
Epoch:18 Loss:0.93581557
Epoch:19 Loss:0.93368425
Epoch:20 Loss:0.93143565
Epoch:21 Loss:0.92003358
Epoch:22 Loss:0.91827256
Epoch:23 Loss:0.91504173
Epoch:24 Loss:0.90998910
Epoch:25 Loss:0.90745434
Epoch:26 Loss:0.90024081
Epoch:27 Loss:0.89609702
Epoch:28 Loss:0.89186410
Epoch:29 Loss:0.88702594
Epoch:30 Loss:0.88398192
Epoch:31 Loss:0.88203793
Epoch:32 Loss:0.87443505
Epoch:33 Loss:0.86669650
Epoch:34 Loss:0.86229178
Epoch:35 Loss:0.85865501
Epoch:36 Loss:0.85528497
Epoch:37 Loss:0.85119506
Epoch:38 Loss:0.84178205
Epoch:39 Loss:0.84070583
Epoch:40 Loss:0.84070026
Epoch:41 Loss:0.83635960
Epoch:42 Loss:0.83227143
Epoch:43 Loss:0.82560879
Epoch:44 Loss:0.82595212
Epoch:45 Loss:0.82334675
Epoch:46 Loss:0.81577203
Epoch:47 Loss:0.80966846
Epoch:48 Loss:0.80852248
Epoch:49 Loss:0.80593723
Epoch:50 Loss:0.80475974
Epoch:51 Loss:0.79942175
Epoch:52 Loss:0.79725690
Epoch:53 Loss:0.79880854
Epoch:54 Loss:0.78907255
Epoch:55 Loss:0.78501198
Epoch:56 Loss:0.78566788
Epoch:57 Loss:0.78536907
Epoch:58 Loss:0.77937937
Epoch:59 Loss:0.77410188
Epoch:60 Loss:0.77338450
Epoch:61 Loss:0.76745706
Epoch:62 Loss:0.77163156
Epoch:63 Loss:0.77101632
Epoch:64 Loss:0.76081540
Epoch:65 Loss:0.76691674
Epoch:66 Loss:0.75416963
Epoch:67 Loss:0.76059138
Epoch:68 Loss:0.75639511
Epoch:69 Loss:0.75189648
Epoch:70 Loss:0.75240059
Epoch:71 Loss:0.75006287
Epoch:72 Loss:0.74803915
Epoch:73 Loss:0.74895852
Epoch:74 Loss:0.74722061
Epoch:75 Loss:0.74046637
Epoch:76 Loss:0.74374524
Epoch:77 Loss:0.72946635
Epoch:78 Loss:0.73258193
Epoch:79 Loss:0.74028297
