nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:1.87292832
Epoch:1 Loss:1.71947968
Epoch:2 Loss:1.61485812
Epoch:3 Loss:1.56333864
Epoch:4 Loss:1.50966645
Epoch:5 Loss:1.45979078
Epoch:6 Loss:1.42798919
Epoch:7 Loss:1.40237422
Epoch:8 Loss:1.37801675
Epoch:9 Loss:1.36140926
Epoch:10 Loss:1.34216565
Epoch:11 Loss:1.33659124
Epoch:12 Loss:1.32502905
Epoch:13 Loss:1.32343104
Epoch:14 Loss:1.31806237
Epoch:15 Loss:1.30179644
Epoch:16 Loss:1.29849001
Epoch:17 Loss:1.29822696
Epoch:18 Loss:1.30008791
Epoch:19 Loss:1.28689433
Epoch:20 Loss:1.27957263
Epoch:21 Loss:1.27674999
Epoch:22 Loss:1.26410711
Epoch:23 Loss:1.26503739
Epoch:24 Loss:1.26801086
Epoch:25 Loss:1.26027555
Epoch:26 Loss:1.25062270
Epoch:27 Loss:1.25473340
Epoch:28 Loss:1.25571881
Epoch:29 Loss:1.24644330
Epoch:30 Loss:1.24767714
Epoch:31 Loss:1.24146268
Epoch:32 Loss:1.23024322
Epoch:33 Loss:1.23221718
Epoch:34 Loss:1.22577025
Epoch:35 Loss:1.22371208
Epoch:36 Loss:1.22242766
Epoch:37 Loss:1.22605894
Epoch:38 Loss:1.21068434
Epoch:39 Loss:1.21463814
Epoch:40 Loss:1.20523726
Epoch:41 Loss:1.21280461
Epoch:42 Loss:1.20123515
Epoch:43 Loss:1.20223968
Epoch:44 Loss:1.20068015
Epoch:45 Loss:1.20185277
Epoch:46 Loss:1.18561316
Epoch:47 Loss:1.19081951
Epoch:48 Loss:1.18408061
Epoch:49 Loss:1.19291676
Epoch:50 Loss:1.18323640
Epoch:51 Loss:1.18470822
Epoch:52 Loss:1.17723940
Epoch:53 Loss:1.17112447
Epoch:54 Loss:1.18052976
Epoch:55 Loss:1.17295434
Epoch:56 Loss:1.18416371
Epoch:57 Loss:1.17145435
Epoch:58 Loss:1.16295328
Epoch:59 Loss:1.16555616
Epoch:60 Loss:1.16178684
Epoch:61 Loss:1.15342417
Epoch:62 Loss:1.16304790
Epoch:63 Loss:1.15606287
Epoch:64 Loss:1.15079083
Epoch:65 Loss:1.14724900
Epoch:66 Loss:1.15003592
Epoch:67 Loss:1.14417952
Epoch:68 Loss:1.15029154
Epoch:69 Loss:1.14221234
Epoch:70 Loss:1.13946403
Epoch:71 Loss:1.13042199
Epoch:72 Loss:1.13236988
Epoch:73 Loss:1.12720471
Epoch:74 Loss:1.13367892
Epoch:75 Loss:1.11663733
Epoch:76 Loss:1.11776229
Epoch:77 Loss:1.10518742
Epoch:78 Loss:1.11422964
Epoch:79 Loss:1.10216542
Epoch:80 Loss:1.09772534
Epoch:81 Loss:1.09747815
Epoch:82 Loss:1.09744036
Epoch:83 Loss:1.09852688
Epoch:84 Loss:1.09555268
Epoch:85 Loss:1.09181097
Epoch:86 Loss:1.08439761
Epoch:87 Loss:1.08521639
Epoch:88 Loss:1.08411943
Epoch:89 Loss:1.07967573
Epoch:90 Loss:1.07655826
Epoch:91 Loss:1.07402925
Epoch:92 Loss:1.07075534
Epoch:93 Loss:1.06627620
Epoch:94 Loss:1.07091643
Epoch:95 Loss:1.05532394
Epoch:96 Loss:1.05264535
Epoch:97 Loss:1.05691464
Epoch:98 Loss:1.05079430
Epoch:99 Loss:1.05066546
Epoch:100 Loss:1.05570463
Epoch:101 Loss:1.05083734
Epoch:102 Loss:1.03509093
Epoch:103 Loss:1.03981158
Epoch:104 Loss:1.03489082
Epoch:105 Loss:1.02766671
Epoch:106 Loss:1.02714994
Epoch:107 Loss:1.02917236
Epoch:108 Loss:1.02717528
Epoch:109 Loss:1.02291657
Epoch:110 Loss:1.01775172
Epoch:111 Loss:1.01978654
Epoch:112 Loss:1.01450347
Epoch:113 Loss:1.01403253
Epoch:114 Loss:1.00117846
Epoch:115 Loss:1.00853637
Epoch:116 Loss:1.00196064
Epoch:117 Loss:0.99698153
Epoch:118 Loss:0.99787440
Epoch:119 Loss:0.99572290
Epoch:120 Loss:0.99400754
Epoch:121 Loss:0.98153761
Epoch:122 Loss:0.98490253
Epoch:123 Loss:0.98880908
Epoch:124 Loss:0.98744596
Epoch:125 Loss:0.98455970
Epoch:126 Loss:0.97924292
Epoch:127 Loss:0.98440040
Epoch:128 Loss:0.98279708
Epoch:129 Loss:0.97454345
Epoch:130 Loss:0.97124884
Epoch:131 Loss:0.97900864
Epoch:132 Loss:0.97284027
Epoch:133 Loss:0.97386517
Epoch:134 Loss:0.96474838
Epoch:135 Loss:0.95914856
Epoch:136 Loss:0.97108874
Epoch:137 Loss:0.95963924
Epoch:138 Loss:0.96033815
Epoch:139 Loss:0.95945318
Epoch:140 Loss:0.95864646
Epoch:141 Loss:0.95822713
Epoch:142 Loss:0.94957847
Epoch:143 Loss:0.95248064
Epoch:144 Loss:0.95359473
Epoch:145 Loss:0.95348528
Epoch:146 Loss:0.95322091
Epoch:147 Loss:0.94455765
Epoch:148 Loss:0.94905826
Epoch:149 Loss:0.94636903
Epoch:150 Loss:0.94265962
Epoch:151 Loss:0.93759924
Epoch:152 Loss:0.93820173
Epoch:153 Loss:0.93386443
Epoch:154 Loss:0.93302108
Epoch:155 Loss:0.92723796
Epoch:156 Loss:0.93579146
Epoch:157 Loss:0.92595174
Epoch:158 Loss:0.93514838
Epoch:159 Loss:0.92297008
Epoch:160 Loss:0.93260841
Epoch:161 Loss:0.93421476
Epoch:162 Loss:0.92452830
Epoch:163 Loss:0.92135460
Epoch:164 Loss:0.91926751
Epoch:165 Loss:0.91845487
Epoch:166 Loss:0.91275449
Epoch:167 Loss:0.91817388
Epoch:168 Loss:0.92560190
Epoch:169 Loss:0.92049724
Epoch:170 Loss:0.91280732
Epoch:171 Loss:0.90918912
Epoch:172 Loss:0.90637588
Epoch:173 Loss:0.91141600
Epoch:174 Loss:0.90376065
Epoch:175 Loss:0.90193787
Epoch:176 Loss:0.90681246
Epoch:177 Loss:0.89737193
Epoch:178 Loss:0.89992181
Epoch:179 Loss:0.90508548
Epoch:180 Loss:0.89903802
Epoch:181 Loss:0.89673356
Epoch:182 Loss:0.89732673
Epoch:183 Loss:0.89906075
Epoch:184 Loss:0.89098390
Epoch:185 Loss:0.89779812
Epoch:186 Loss:0.89097362
Epoch:187 Loss:0.88157417
Epoch:188 Loss:0.89146704
Epoch:189 Loss:0.89202054
Epoch:190 Loss:0.88080651
Epoch:191 Loss:0.88728641
Epoch:192 Loss:0.88734747
Epoch:193 Loss:0.88338880
Epoch:194 Loss:0.88871588
Epoch:195 Loss:0.88278792
Epoch:196 Loss:0.88293594
Epoch:197 Loss:0.87871435
Epoch:198 Loss:0.87738705
Epoch:199 Loss:0.88102181
Epoch:200 Loss:0.88049270
Epoch:201 Loss:0.87786736
Epoch:202 Loss:0.87911337
Epoch:203 Loss:0.88167716
Epoch:204 Loss:0.87226856
Epoch:205 Loss:0.87527444
Epoch:206 Loss:0.87992741
Epoch:207 Loss:0.86781920
Epoch:208 Loss:0.86393773
Epoch:209 Loss:0.86939996
Epoch:210 Loss:0.86867928
Epoch:211 Loss:0.86965350
Epoch:212 Loss:0.86631714
Epoch:213 Loss:0.87414374
Epoch:214 Loss:0.86363148
Epoch:215 Loss:0.86416628
Epoch:216 Loss:0.85633685
Epoch:217 Loss:0.87063764
Epoch:218 Loss:0.85818319
Epoch:219 Loss:0.85723190
Epoch:220 Loss:0.85366869
Epoch:221 Loss:0.84899788
Epoch:222 Loss:0.84984852
Epoch:223 Loss:0.85409005
Epoch:224 Loss:0.85195865
Epoch:225 Loss:0.85319271
Epoch:226 Loss:0.85188848
Epoch:227 Loss:0.85095104
Epoch:228 Loss:0.84909513
Epoch:229 Loss:0.84666022
Epoch:230 Loss:0.84269556
Epoch:231 Loss:0.84636494
