nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:1.87113352
Epoch:1 Loss:1.73269223
Epoch:2 Loss:1.64335566
Epoch:3 Loss:1.59991649
Epoch:4 Loss:1.56683521
Epoch:5 Loss:1.53669858
Epoch:6 Loss:1.49353110
Epoch:7 Loss:1.44662779
Epoch:8 Loss:1.40842510
Epoch:9 Loss:1.38029342
Epoch:10 Loss:1.36244116
Epoch:11 Loss:1.35247190
Epoch:12 Loss:1.33465610
Epoch:13 Loss:1.33088055
Epoch:14 Loss:1.32368274
Epoch:15 Loss:1.31222692
Epoch:16 Loss:1.30588861
Epoch:17 Loss:1.30318261
Epoch:18 Loss:1.29894979
Epoch:19 Loss:1.29030447
Epoch:20 Loss:1.27762997
Epoch:21 Loss:1.27692032
Epoch:22 Loss:1.26686032
Epoch:23 Loss:1.25908079
Epoch:24 Loss:1.26492481
Epoch:25 Loss:1.25126461
Epoch:26 Loss:1.24459952
Epoch:27 Loss:1.24888994
Epoch:28 Loss:1.23372622
Epoch:29 Loss:1.23516405
Epoch:30 Loss:1.22854075
Epoch:31 Loss:1.22516979
Epoch:32 Loss:1.22927770
Epoch:33 Loss:1.21792974
Epoch:34 Loss:1.22292256
Epoch:35 Loss:1.20845081
Epoch:36 Loss:1.21433861
Epoch:37 Loss:1.20786225
Epoch:38 Loss:1.21115836
Epoch:39 Loss:1.19827731
Epoch:40 Loss:1.19688692
Epoch:41 Loss:1.19646202
Epoch:42 Loss:1.19176242
Epoch:43 Loss:1.18782257
Epoch:44 Loss:1.19085324
Epoch:45 Loss:1.18961692
Epoch:46 Loss:1.18059644
Epoch:47 Loss:1.17634420
Epoch:48 Loss:1.18019029
Epoch:49 Loss:1.17759822
Epoch:50 Loss:1.17122641
Epoch:51 Loss:1.17611976
Epoch:52 Loss:1.16173958
Epoch:53 Loss:1.16154119
Epoch:54 Loss:1.16041243
Epoch:55 Loss:1.16485369
Epoch:56 Loss:1.16235622
Epoch:57 Loss:1.15483799
Epoch:58 Loss:1.15414068
Epoch:59 Loss:1.14887331
Epoch:60 Loss:1.14279902
Epoch:61 Loss:1.13602580
Epoch:62 Loss:1.13552677
Epoch:63 Loss:1.14245314
Epoch:64 Loss:1.13576530
Epoch:65 Loss:1.13001796
Epoch:66 Loss:1.12870548
Epoch:67 Loss:1.12650626
Epoch:68 Loss:1.12367223
Epoch:69 Loss:1.12820091
Epoch:70 Loss:1.10955412
Epoch:71 Loss:1.10839779
Epoch:72 Loss:1.11514904
Epoch:73 Loss:1.10339286
Epoch:74 Loss:1.10517849
Epoch:75 Loss:1.09869772
Epoch:76 Loss:1.09008143
Epoch:77 Loss:1.08831765
Epoch:78 Loss:1.08572728
Epoch:79 Loss:1.07943481
Epoch:80 Loss:1.07686653
Epoch:81 Loss:1.07023507
Epoch:82 Loss:1.06254376
Epoch:83 Loss:1.06717499
Epoch:84 Loss:1.06456455
Epoch:85 Loss:1.05950793
Epoch:86 Loss:1.05064336
Epoch:87 Loss:1.04864275
Epoch:88 Loss:1.04085387
Epoch:89 Loss:1.04793353
Epoch:90 Loss:1.04147011
Epoch:91 Loss:1.04176672
Epoch:92 Loss:1.03744285
Epoch:93 Loss:1.03712538
Epoch:94 Loss:1.03479573
Epoch:95 Loss:1.02654119
Epoch:96 Loss:1.02673096
Epoch:97 Loss:1.02551768
Epoch:98 Loss:1.02234260
Epoch:99 Loss:1.01777955
Epoch:100 Loss:1.02851633
Epoch:101 Loss:1.01996792
Epoch:102 Loss:1.01109348
Epoch:103 Loss:1.01511876
Epoch:104 Loss:1.00165682
Epoch:105 Loss:1.00630714
Epoch:106 Loss:1.00267454
Epoch:107 Loss:1.00272071
Epoch:108 Loss:1.00548285
Epoch:109 Loss:0.99547238
Epoch:110 Loss:0.98752896
Epoch:111 Loss:0.99400503
Epoch:112 Loss:0.99273455
Epoch:113 Loss:0.99354625
Epoch:114 Loss:0.98679291
Epoch:115 Loss:0.98592143
Epoch:116 Loss:0.98840030
Epoch:117 Loss:0.97950657
Epoch:118 Loss:0.98213055
Epoch:119 Loss:0.97196104
Epoch:120 Loss:0.97642550
Epoch:121 Loss:0.96835074
Epoch:122 Loss:0.96727275
Epoch:123 Loss:0.97402340
Epoch:124 Loss:0.96329763
Epoch:125 Loss:0.95984856
Epoch:126 Loss:0.95688026
Epoch:127 Loss:0.96294910
Epoch:128 Loss:0.95995033
Epoch:129 Loss:0.96271651
Epoch:130 Loss:0.96230766
Epoch:131 Loss:0.96043067
Epoch:132 Loss:0.95238017
Epoch:133 Loss:0.95416860
Epoch:134 Loss:0.94487663
Epoch:135 Loss:0.95344370
Epoch:136 Loss:0.95583171
Epoch:137 Loss:0.94068091
Epoch:138 Loss:0.94942204
Epoch:139 Loss:0.94818508
Epoch:140 Loss:0.94438777
Epoch:141 Loss:0.93560403
Epoch:142 Loss:0.93985431
Epoch:143 Loss:0.93877555
Epoch:144 Loss:0.94105203
Epoch:145 Loss:0.93267102
Epoch:146 Loss:0.94049967
Epoch:147 Loss:0.94177738
Epoch:148 Loss:0.92646134
Epoch:149 Loss:0.93446799
Epoch:150 Loss:0.93179870
Epoch:151 Loss:0.93073777
Epoch:152 Loss:0.92965222
Epoch:153 Loss:0.92431279
Epoch:154 Loss:0.91753813
Epoch:155 Loss:0.92227578
Epoch:156 Loss:0.92651150
Epoch:157 Loss:0.91664623
Epoch:158 Loss:0.92300575
Epoch:159 Loss:0.91302230
Epoch:160 Loss:0.92956139
Epoch:161 Loss:0.92004668
Epoch:162 Loss:0.90972676
Epoch:163 Loss:0.91620236
Epoch:164 Loss:0.90672209
Epoch:165 Loss:0.90547447
Epoch:166 Loss:0.90699090
Epoch:167 Loss:0.90698423
Epoch:168 Loss:0.91344587
Epoch:169 Loss:0.90570526
Epoch:170 Loss:0.90063185
Epoch:171 Loss:0.90164352
Epoch:172 Loss:0.89963334
Epoch:173 Loss:0.90544654
Epoch:174 Loss:0.90564425
Epoch:175 Loss:0.89821763
Epoch:176 Loss:0.90608715
Epoch:177 Loss:0.88999671
Epoch:178 Loss:0.88997868
Epoch:179 Loss:0.90079347
Epoch:180 Loss:0.89841579
Epoch:181 Loss:0.89593493
Epoch:182 Loss:0.89228401
Epoch:183 Loss:0.88925716
Epoch:184 Loss:0.88598106
Epoch:185 Loss:0.89351718
Epoch:186 Loss:0.88051152
Epoch:187 Loss:0.88192107
Epoch:188 Loss:0.88505966
Epoch:189 Loss:0.88596713
Epoch:190 Loss:0.87784605
Epoch:191 Loss:0.87918958
Epoch:192 Loss:0.87954116
Epoch:193 Loss:0.88413036
Epoch:194 Loss:0.87914733
Epoch:195 Loss:0.87466971
Epoch:196 Loss:0.88223763
Epoch:197 Loss:0.87808310
Epoch:198 Loss:0.86664153
Epoch:199 Loss:0.87311618
Epoch:200 Loss:0.87143915
Epoch:201 Loss:0.86798973
Epoch:202 Loss:0.86823608
Epoch:203 Loss:0.86885476
Epoch:204 Loss:0.86592021
Epoch:205 Loss:0.87118835
Epoch:206 Loss:0.87456528
Epoch:207 Loss:0.86166153
Epoch:208 Loss:0.85759974
Epoch:209 Loss:0.86261640
Epoch:210 Loss:0.86185164
Epoch:211 Loss:0.86690320
Epoch:212 Loss:0.86605778
Epoch:213 Loss:0.85949093
Epoch:214 Loss:0.85757024
Epoch:215 Loss:0.85896982
Epoch:216 Loss:0.85807998
Epoch:217 Loss:0.86363950
Epoch:218 Loss:0.86120506
Epoch:219 Loss:0.85713373
Epoch:220 Loss:0.85167117
Epoch:221 Loss:0.84957699
Epoch:222 Loss:0.84916276
Epoch:223 Loss:0.84831167
Epoch:224 Loss:0.85288808
Epoch:225 Loss:0.84899326
Epoch:226 Loss:0.84825592
Epoch:227 Loss:0.84481962
Epoch:228 Loss:0.85002810
Epoch:229 Loss:0.83952323
Epoch:230 Loss:0.83996379
Epoch:231 Loss:0.84760459
