nohup: 忽略输入
Dataset: cora

# Run:0 with random seed:1
Epoch:0 Loss:0.69314326
Epoch:1 Loss:0.69311961
Epoch:2 Loss:0.69307211
Epoch:3 Loss:0.69294178
Epoch:4 Loss:0.69264544
Epoch:5 Loss:0.69188148
Epoch:6 Loss:0.69035607
Epoch:7 Loss:0.68704192
Epoch:8 Loss:0.68221455
Epoch:9 Loss:0.67502930
Epoch:10 Loss:0.66576320
Epoch:11 Loss:0.65546136
Epoch:12 Loss:0.64633384
Epoch:13 Loss:0.63475654
Epoch:14 Loss:0.62318780
Epoch:15 Loss:0.61562635
Epoch:16 Loss:0.61162905
Epoch:17 Loss:0.59594218
Epoch:18 Loss:0.58861557
Epoch:19 Loss:0.59161855
Epoch:20 Loss:0.58044738
Epoch:21 Loss:0.57723326
Epoch:22 Loss:0.56953108
Epoch:23 Loss:0.55914311
Epoch:24 Loss:0.54934816
Epoch:25 Loss:0.54615946
Epoch:26 Loss:0.54716691
Epoch:27 Loss:0.53262322
Epoch:28 Loss:0.54378900
Epoch:29 Loss:0.53288596
Epoch:30 Loss:0.52409206
Epoch:31 Loss:0.52248566
Epoch:32 Loss:0.52375221
Epoch:33 Loss:0.51539332
Epoch:34 Loss:0.51018633
Epoch:35 Loss:0.51033029
Epoch:36 Loss:0.50984214
Epoch:37 Loss:0.50329243
Epoch:38 Loss:0.49788006
Epoch:39 Loss:0.49408039
Epoch:40 Loss:0.50173471
Epoch:41 Loss:0.49171564
Epoch:42 Loss:0.48153347
Epoch:43 Loss:0.48497664
Epoch:44 Loss:0.48942439
Epoch:45 Loss:0.47902372
Epoch:46 Loss:0.47768543
Epoch:47 Loss:0.47748453
Epoch:48 Loss:0.46477308
Epoch:49 Loss:0.46809495
Epoch:50 Loss:0.47152212
Epoch:51 Loss:0.47059189
Epoch:52 Loss:0.46471832
Epoch:53 Loss:0.46798899
Epoch:54 Loss:0.45263920
Epoch:55 Loss:0.45209422
Epoch:56 Loss:0.46030048
Epoch:57 Loss:0.45396185
Epoch:58 Loss:0.44887129
Epoch:59 Loss:0.44316174
Epoch:60 Loss:0.45553378
Epoch:61 Loss:0.43685172
Epoch:62 Loss:0.44098609
Epoch:63 Loss:0.44061640
Epoch:64 Loss:0.43972439
Epoch:65 Loss:0.43457855
Epoch:66 Loss:0.43004494
Epoch:67 Loss:0.44002695
Epoch:68 Loss:0.42995060
Epoch:69 Loss:0.43135836
Epoch:70 Loss:0.42630472
Epoch:71 Loss:0.41420278
Epoch:72 Loss:0.41318990
Epoch:73 Loss:0.43016611
Epoch:74 Loss:0.41628705
Epoch:75 Loss:0.42858656
Epoch:76 Loss:0.41612762
Epoch:77 Loss:0.41924607
Epoch:78 Loss:0.41428228
Epoch:79 Loss:0.41447129
