nohup: 忽略输入
Dataset: cora

# Run:0 with random seed:1
Epoch:0 Loss:0.20794304
Epoch:1 Loss:0.20793685
Epoch:2 Loss:0.20792373
Epoch:3 Loss:0.20789246
Epoch:4 Loss:0.20781692
Epoch:5 Loss:0.20762262
Epoch:6 Loss:0.20721835
Epoch:7 Loss:0.20633842
Epoch:8 Loss:0.20501000
Epoch:9 Loss:0.20307745
Epoch:10 Loss:0.20045978
Epoch:11 Loss:0.19716116
Epoch:12 Loss:0.19389501
Epoch:13 Loss:0.19001049
Epoch:14 Loss:0.18547588
Epoch:15 Loss:0.18227160
Epoch:16 Loss:0.18079338
Epoch:17 Loss:0.17608095
Epoch:18 Loss:0.17289599
Epoch:19 Loss:0.17493262
Epoch:20 Loss:0.17129295
Epoch:21 Loss:0.16942675
Epoch:22 Loss:0.16674291
Epoch:23 Loss:0.16370279
Epoch:24 Loss:0.16149451
Epoch:25 Loss:0.16018274
Epoch:26 Loss:0.16192774
Epoch:27 Loss:0.15743368
Epoch:28 Loss:0.15970620
Epoch:29 Loss:0.15781610
Epoch:30 Loss:0.15462246
Epoch:31 Loss:0.15464391
Epoch:32 Loss:0.15396249
Epoch:33 Loss:0.15341095
Epoch:34 Loss:0.15081819
Epoch:35 Loss:0.14901210
Epoch:36 Loss:0.15107011
Epoch:37 Loss:0.14949173
Epoch:38 Loss:0.14761878
Epoch:39 Loss:0.14835244
Epoch:40 Loss:0.14895055
Epoch:41 Loss:0.14644120
Epoch:42 Loss:0.14345919
Epoch:43 Loss:0.14401284
Epoch:44 Loss:0.14604494
Epoch:45 Loss:0.14227116
Epoch:46 Loss:0.14321203
Epoch:47 Loss:0.14417770
Epoch:48 Loss:0.13801111
Epoch:49 Loss:0.14037168
Epoch:50 Loss:0.14005354
Epoch:51 Loss:0.13993509
Epoch:52 Loss:0.13957748
Epoch:53 Loss:0.13918030
Epoch:54 Loss:0.13554428
Epoch:55 Loss:0.13514996
Epoch:56 Loss:0.13903605
Epoch:57 Loss:0.13647520
Epoch:58 Loss:0.13518003
Epoch:59 Loss:0.13355034
Epoch:60 Loss:0.13506516
Epoch:61 Loss:0.13242293
Epoch:62 Loss:0.13140043
Epoch:63 Loss:0.13323122
Epoch:64 Loss:0.13172884
Epoch:65 Loss:0.13253746
Epoch:66 Loss:0.13015655
Epoch:67 Loss:0.13295267
Epoch:68 Loss:0.13048563
Epoch:69 Loss:0.12959860
Epoch:70 Loss:0.12723001
Epoch:71 Loss:0.12445796
Epoch:72 Loss:0.12422173
Epoch:73 Loss:0.12756520
Epoch:74 Loss:0.12688701
Epoch:75 Loss:0.12754974
Epoch:76 Loss:0.12564623
Epoch:77 Loss:0.12540903
Epoch:78 Loss:0.12569471
Epoch:79 Loss:0.12431926
