nohup: 忽略输入
Dataset: citeseer

# Run:0 with random seed:1
Epoch:0 Loss:3.76278087
Epoch:1 Loss:3.76261851
Epoch:2 Loss:3.76169153
Epoch:3 Loss:3.75733302
Epoch:4 Loss:3.74242147
Epoch:5 Loss:3.70444267
Epoch:6 Loss:3.62982166
Epoch:7 Loss:3.52380994
Epoch:8 Loss:3.41470895
Epoch:9 Loss:3.33357294
Epoch:10 Loss:3.27948275
Epoch:11 Loss:3.23178827
Epoch:12 Loss:3.18664043
Epoch:13 Loss:3.13754238
Epoch:14 Loss:3.06846380
Epoch:15 Loss:3.03828143
Epoch:16 Loss:2.97726485
Epoch:17 Loss:2.93996561
Epoch:18 Loss:2.89783684
Epoch:19 Loss:2.84124714
Epoch:20 Loss:2.81341392
Epoch:21 Loss:2.75686788
Epoch:22 Loss:2.71833846
Epoch:23 Loss:2.65501301
Epoch:24 Loss:2.65728694
Epoch:25 Loss:2.62604214
Epoch:26 Loss:2.58253928
Epoch:27 Loss:2.54030834
Epoch:28 Loss:2.50163344
Epoch:29 Loss:2.47872409
Epoch:30 Loss:2.46859350
Epoch:31 Loss:2.42084952
Epoch:32 Loss:2.38332756
Epoch:33 Loss:2.35828336
Epoch:34 Loss:2.31934583
Epoch:35 Loss:2.29237071
Epoch:36 Loss:2.29235240
Epoch:37 Loss:2.28735169
Epoch:38 Loss:2.21035877
Epoch:39 Loss:2.20951237
Epoch:40 Loss:2.18064841
Epoch:41 Loss:2.18804041
Epoch:42 Loss:2.15522754
Epoch:43 Loss:2.13315376
Epoch:44 Loss:2.12330669
Epoch:45 Loss:2.09223879
Epoch:46 Loss:2.09499887
Epoch:47 Loss:2.09107445
Epoch:48 Loss:2.06457805
Epoch:49 Loss:2.02004872
Epoch:50 Loss:2.01658491
Epoch:51 Loss:2.01590611
Epoch:52 Loss:1.99900914
Epoch:53 Loss:1.99242390
Epoch:54 Loss:1.97148474
Epoch:55 Loss:1.95791072
Epoch:56 Loss:1.94792093
Epoch:57 Loss:1.91789253
Epoch:58 Loss:1.89330536
Epoch:59 Loss:1.90938418
Epoch:60 Loss:1.88278480
Epoch:61 Loss:1.87401667
Epoch:62 Loss:1.86685815
Epoch:63 Loss:1.85056121
Epoch:64 Loss:1.84851912
Epoch:65 Loss:1.82921888
Epoch:66 Loss:1.82416987
Epoch:67 Loss:1.80015483
Epoch:68 Loss:1.77657127
Epoch:69 Loss:1.77948197
Epoch:70 Loss:1.74698134
Epoch:71 Loss:1.76552087
Epoch:72 Loss:1.74291570
Epoch:73 Loss:1.74375239
Epoch:74 Loss:1.70664727
Epoch:75 Loss:1.72706810
Epoch:76 Loss:1.70231450
Epoch:77 Loss:1.72773831
Epoch:78 Loss:1.71014256
Epoch:79 Loss:1.66269452
Epoch:80 Loss:1.68506010
Epoch:81 Loss:1.69285695
Epoch:82 Loss:1.67378435
Epoch:83 Loss:1.64044358
Epoch:84 Loss:1.66396361
Epoch:85 Loss:1.64497025
Epoch:86 Loss:1.65031557
Epoch:87 Loss:1.63446669
Epoch:88 Loss:1.61109006
Epoch:89 Loss:1.63218097
Epoch:90 Loss:1.60461056
Epoch:91 Loss:1.57854638
Epoch:92 Loss:1.60370206
Epoch:93 Loss:1.58200806
Epoch:94 Loss:1.56538295
Epoch:95 Loss:1.53496459
Epoch:96 Loss:1.57197050
Epoch:97 Loss:1.55671777
Epoch:98 Loss:1.56135408
Epoch:99 Loss:1.56231181
Epoch:100 Loss:1.54273650
Epoch:101 Loss:1.53374273
Epoch:102 Loss:1.55346043
Epoch:103 Loss:1.51887765
Epoch:104 Loss:1.51452940
Epoch:105 Loss:1.53285104
Epoch:106 Loss:1.53556801
Epoch:107 Loss:1.50662883
Epoch:108 Loss:1.50753684
Epoch:109 Loss:1.51536636
Epoch:110 Loss:1.49812583
Epoch:111 Loss:1.49152974
Epoch:112 Loss:1.46246535
Epoch:113 Loss:1.46971689
Epoch:114 Loss:1.48560850
Epoch:115 Loss:1.45556225
Epoch:116 Loss:1.45594998
Epoch:117 Loss:1.43404734
Epoch:118 Loss:1.42888512
Epoch:119 Loss:1.45610132
Epoch:120 Loss:1.45522184
Epoch:121 Loss:1.43446092
Epoch:122 Loss:1.39928753
Epoch:123 Loss:1.43219784
Epoch:124 Loss:1.39310926
Epoch:125 Loss:1.42466736
Epoch:126 Loss:1.40570960
Epoch:127 Loss:1.40278374
Epoch:128 Loss:1.43588067
Epoch:129 Loss:1.39899969
Epoch:130 Loss:1.39320123
Epoch:131 Loss:1.37740890
Epoch:132 Loss:1.38776916
Epoch:133 Loss:1.39359504
Epoch:134 Loss:1.43011294
Epoch:135 Loss:1.40576235
Epoch:136 Loss:1.38344614
Epoch:137 Loss:1.38800916
Epoch:138 Loss:1.35095228
Epoch:139 Loss:1.34766138
Epoch:140 Loss:1.36959168
Epoch:141 Loss:1.33430727
Epoch:142 Loss:1.34824571
Epoch:143 Loss:1.33666177
Epoch:144 Loss:1.36681612
Epoch:145 Loss:1.35048359
Epoch:146 Loss:1.34590424
Epoch:147 Loss:1.31830345
Epoch:148 Loss:1.34332044
Epoch:149 Loss:1.33370563
Epoch:150 Loss:1.32986340
Epoch:151 Loss:1.30827426
Epoch:152 Loss:1.30951959
Epoch:153 Loss:1.32790489
Epoch:154 Loss:1.31619807
Epoch:155 Loss:1.32276196
Epoch:156 Loss:1.30364307
Epoch:157 Loss:1.29623602
Epoch:158 Loss:1.27374672
Epoch:159 Loss:1.32297578
Epoch:160 Loss:1.30358509
Epoch:161 Loss:1.26507916
Epoch:162 Loss:1.30987911
Epoch:163 Loss:1.27275981
Epoch:164 Loss:1.24828535
Epoch:165 Loss:1.27660133
Epoch:166 Loss:1.28938201
Epoch:167 Loss:1.29143914
Epoch:168 Loss:1.25833453
Epoch:169 Loss:1.26180135
Epoch:170 Loss:1.27244480
Epoch:171 Loss:1.23181028
Epoch:172 Loss:1.25101332
Epoch:173 Loss:1.25161217
Epoch:174 Loss:1.24667427
Epoch:175 Loss:1.24093026
Epoch:176 Loss:1.25421992
Epoch:177 Loss:1.23806769
Epoch:178 Loss:1.21406882
Epoch:179 Loss:1.27111958
Epoch:180 Loss:1.19501014
Epoch:181 Loss:1.24888244
Epoch:182 Loss:1.21458613
Epoch:183 Loss:1.22477227
Epoch:184 Loss:1.21642347
Epoch:185 Loss:1.20282232
Epoch:186 Loss:1.25410570
Epoch:187 Loss:1.24271793
Epoch:188 Loss:1.21761925
Epoch:189 Loss:1.23179233
Epoch:190 Loss:1.21128357
Epoch:191 Loss:1.21266074
Epoch:192 Loss:1.20425507
Epoch:193 Loss:1.19670551
Epoch:194 Loss:1.21591692
Epoch:195 Loss:1.19711213
Epoch:196 Loss:1.19210293
Epoch:197 Loss:1.15903668
Epoch:198 Loss:1.20069439
Epoch:199 Loss:1.16122578
Epoch:200 Loss:1.18425048
Epoch:201 Loss:1.16888929
Epoch:202 Loss:1.16949100
Epoch:203 Loss:1.15264912
Epoch:204 Loss:1.15488111
Epoch:205 Loss:1.15820878
Epoch:206 Loss:1.17960788
Epoch:207 Loss:1.15989427
Epoch:208 Loss:1.15101014
Epoch:209 Loss:1.14981964
Epoch:210 Loss:1.18000480
Epoch:211 Loss:1.17011299
Epoch:212 Loss:1.14350826
Epoch:213 Loss:1.16957577
Epoch:214 Loss:1.10004419
Epoch:215 Loss:1.13747104
Epoch:216 Loss:1.15621320
Epoch:217 Loss:1.13278004
Epoch:218 Loss:1.14207672
Epoch:219 Loss:1.15349388
Epoch:220 Loss:1.11909254
Epoch:221 Loss:1.13959574
Epoch:222 Loss:1.11602021
Epoch:223 Loss:1.13975802
Epoch:224 Loss:1.09765147
Epoch:225 Loss:1.11658423
Epoch:226 Loss:1.09362822
Epoch:227 Loss:1.09450585
Epoch:228 Loss:1.07208788
Epoch:229 Loss:1.11036952
Epoch:230 Loss:1.12650616
Epoch:231 Loss:1.07015076
Epoch:232 Loss:1.09293251
Epoch:233 Loss:1.09662272
Epoch:234 Loss:1.09151193
Epoch:235 Loss:1.10477554
Epoch:236 Loss:1.09727736
Epoch:237 Loss:1.09984887
Epoch:238 Loss:1.07071121
Epoch:239 Loss:1.10182997
Epoch:240 Loss:1.08454461
Epoch:241 Loss:1.08831546
Epoch:242 Loss:1.09499827
Epoch:243 Loss:1.06066645
Epoch:244 Loss:1.07843271
Epoch:245 Loss:1.08496477
Epoch:246 Loss:1.09647901
Epoch:247 Loss:1.04503821
Epoch:248 Loss:1.06122264
Epoch:249 Loss:1.07287009
Epoch:250 Loss:1.04537520
Epoch:251 Loss:1.09270841
Epoch:252 Loss:1.04771312
Epoch:253 Loss:1.07329288
Epoch:254 Loss:1.03783364
Epoch:255 Loss:1.04208927
Epoch:256 Loss:1.04201803
Epoch:257 Loss:1.02144116
Epoch:258 Loss:1.04073793
Epoch:259 Loss:1.03805756
Epoch:260 Loss:1.05799870
Epoch:261 Loss:1.03774242
Epoch:262 Loss:1.07316076
Epoch:263 Loss:1.04691908
Epoch:264 Loss:1.03214735
Epoch:265 Loss:1.04917218
Epoch:266 Loss:1.02456621
Epoch:267 Loss:1.02071344
Epoch:268 Loss:1.01815996
Epoch:269 Loss:1.00442168
Epoch:270 Loss:1.04097431
Epoch:271 Loss:1.00591736
Epoch:272 Loss:1.04656491
Epoch:273 Loss:1.00465301
Epoch:274 Loss:1.03358745
Epoch:275 Loss:1.00762651
Epoch:276 Loss:1.00885631
Epoch:277 Loss:1.00820922
Epoch:278 Loss:0.99483995
Epoch:279 Loss:1.01039321
Epoch:280 Loss:1.02299883
Epoch:281 Loss:0.96836568
Epoch:282 Loss:0.99040283
Epoch:283 Loss:1.01085538
Epoch:284 Loss:1.00390143
Epoch:285 Loss:0.97355992
Epoch:286 Loss:0.98955595
Epoch:287 Loss:0.96213121
Epoch:288 Loss:0.99412963
Epoch:289 Loss:0.95909231
Epoch:290 Loss:0.97404572
Epoch:291 Loss:0.98477528
Epoch:292 Loss:0.99228997
Epoch:293 Loss:0.96037027
Epoch:294 Loss:1.00093462
Epoch:295 Loss:0.96868689
Epoch:296 Loss:0.97850442
Epoch:297 Loss:0.98910824
Epoch:298 Loss:0.96769674
Epoch:299 Loss:0.98766638
Epoch:300 Loss:0.96132447
Epoch:301 Loss:0.97457381
Epoch:302 Loss:0.96841612
Epoch:303 Loss:0.96737033
Epoch:304 Loss:0.97212577
Epoch:305 Loss:0.96682115
Epoch:306 Loss:0.97114517
Epoch:307 Loss:0.95375119
Epoch:308 Loss:0.93532959
Epoch:309 Loss:0.95197669
Epoch:310 Loss:0.96986378
Epoch:311 Loss:0.96011087
Epoch:312 Loss:0.96057343
Epoch:313 Loss:0.95155102
Epoch:314 Loss:0.94584133
Epoch:315 Loss:0.93576318
Epoch:316 Loss:0.96915719
Epoch:317 Loss:0.91931889
Epoch:318 Loss:0.92916229
Epoch:319 Loss:0.93855615
Epoch:320 Loss:0.93676436
Epoch:321 Loss:0.95983808
Epoch:322 Loss:0.93198907
Epoch:323 Loss:0.95070048
Epoch:324 Loss:0.92863954
Epoch:325 Loss:0.93148551
Epoch:326 Loss:0.92347560
Epoch:327 Loss:0.90427415
Epoch:328 Loss:0.92857752
Epoch:329 Loss:0.90461958
Epoch:330 Loss:0.92994195
Epoch:331 Loss:0.93600865
Epoch:332 Loss:0.91599176
Epoch:333 Loss:0.89783508
Epoch:334 Loss:0.93133776
Epoch:335 Loss:0.91796904
Epoch:336 Loss:0.90833999
Epoch:337 Loss:0.90758063
Epoch:338 Loss:0.88850899
Epoch:339 Loss:0.90110153
Epoch:340 Loss:0.89221279
Epoch:341 Loss:0.90220643
Epoch:342 Loss:0.89767221
Epoch:343 Loss:0.91272741
Epoch:344 Loss:0.90266834
Epoch:345 Loss:0.88999809
Epoch:346 Loss:0.87696601
Epoch:347 Loss:0.91938270
Epoch:348 Loss:0.90151429
Epoch:349 Loss:0.90201838
Epoch:350 Loss:0.87309935
Epoch:351 Loss:0.88047668
Epoch:352 Loss:0.90153911
Epoch:353 Loss:0.87747045
Epoch:354 Loss:0.90233069
Epoch:355 Loss:0.88076065
Epoch:356 Loss:0.88431593
Epoch:357 Loss:0.87822859
