nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:3.74383553
Epoch:1 Loss:3.44819808
Epoch:2 Loss:3.25845655
Epoch:3 Loss:3.17498364
Epoch:4 Loss:3.08763464
Epoch:5 Loss:3.01215085
Epoch:6 Loss:2.94155167
Epoch:7 Loss:2.89870287
Epoch:8 Loss:2.85762486
Epoch:9 Loss:2.79499706
Epoch:10 Loss:2.74497464
Epoch:11 Loss:2.71932593
Epoch:12 Loss:2.68036487
Epoch:13 Loss:2.66635045
Epoch:14 Loss:2.63977572
Epoch:15 Loss:2.62033747
Epoch:16 Loss:2.60684289
Epoch:17 Loss:2.59713432
Epoch:18 Loss:2.59161396
Epoch:19 Loss:2.56858689
Epoch:20 Loss:2.55710770
Epoch:21 Loss:2.54531940
Epoch:22 Loss:2.54334916
Epoch:23 Loss:2.51684375
Epoch:24 Loss:2.51882137
Epoch:25 Loss:2.50872130
Epoch:26 Loss:2.49260017
Epoch:27 Loss:2.48078427
Epoch:28 Loss:2.47739405
Epoch:29 Loss:2.46768321
Epoch:30 Loss:2.47446920
Epoch:31 Loss:2.45907079
Epoch:32 Loss:2.44902979
Epoch:33 Loss:2.44033698
Epoch:34 Loss:2.44839006
Epoch:35 Loss:2.42924119
Epoch:36 Loss:2.41691692
Epoch:37 Loss:2.42876880
Epoch:38 Loss:2.40564203
Epoch:39 Loss:2.41116566
Epoch:40 Loss:2.39354396
Epoch:41 Loss:2.40268455
Epoch:42 Loss:2.38024847
Epoch:43 Loss:2.38352916
Epoch:44 Loss:2.39034372
Epoch:45 Loss:2.37593642
Epoch:46 Loss:2.36707843
Epoch:47 Loss:2.36289056
Epoch:48 Loss:2.35902630
Epoch:49 Loss:2.36750294
Epoch:50 Loss:2.34693364
Epoch:51 Loss:2.34613716
Epoch:52 Loss:2.33696530
Epoch:53 Loss:2.33387602
Epoch:54 Loss:2.33543785
Epoch:55 Loss:2.31542613
Epoch:56 Loss:2.33023840
Epoch:57 Loss:2.32239152
Epoch:58 Loss:2.30100091
Epoch:59 Loss:2.29948302
Epoch:60 Loss:2.30442072
Epoch:61 Loss:2.29194873
Epoch:62 Loss:2.29144290
Epoch:63 Loss:2.27396880
Epoch:64 Loss:2.26408158
Epoch:65 Loss:2.27375152
Epoch:66 Loss:2.26782974
Epoch:67 Loss:2.23514223
Epoch:68 Loss:2.24788752
Epoch:69 Loss:2.24887090
Epoch:70 Loss:2.23141125
Epoch:71 Loss:2.21678007
Epoch:72 Loss:2.21917722
Epoch:73 Loss:2.20765861
Epoch:74 Loss:2.21583309
Epoch:75 Loss:2.19603357
Epoch:76 Loss:2.19008961
Epoch:77 Loss:2.16886881
Epoch:78 Loss:2.18198351
Epoch:79 Loss:2.16398346
Epoch:80 Loss:2.16511751
Epoch:81 Loss:2.13962610
Epoch:82 Loss:2.16110330
Epoch:83 Loss:2.14983081
Epoch:84 Loss:2.13993785
Epoch:85 Loss:2.13228590
Epoch:86 Loss:2.11967491
Epoch:87 Loss:2.11731104
Epoch:88 Loss:2.09342215
Epoch:89 Loss:2.11384731
Epoch:90 Loss:2.07994362
Epoch:91 Loss:2.09023309
Epoch:92 Loss:2.07234634
Epoch:93 Loss:2.06994720
Epoch:94 Loss:2.08455429
Epoch:95 Loss:2.04921992
Epoch:96 Loss:2.05482251
Epoch:97 Loss:2.05686149
Epoch:98 Loss:2.04790128
Epoch:99 Loss:2.04209922
Epoch:100 Loss:2.04061557
Epoch:101 Loss:2.04405868
Epoch:102 Loss:2.01958182
Epoch:103 Loss:2.01879919
Epoch:104 Loss:2.01175625
Epoch:105 Loss:2.02018344
Epoch:106 Loss:2.00277143
Epoch:107 Loss:2.00647727
Epoch:108 Loss:2.00177706
Epoch:109 Loss:1.97943304
Epoch:110 Loss:1.97906177
Epoch:111 Loss:1.98243514
Epoch:112 Loss:1.96824693
Epoch:113 Loss:1.97798292
Epoch:114 Loss:1.95991569
Epoch:115 Loss:1.97367681
Epoch:116 Loss:1.95428235
Epoch:117 Loss:1.93339802
Epoch:118 Loss:1.95008887
Epoch:119 Loss:1.93643669
Epoch:120 Loss:1.93742233
Epoch:121 Loss:1.94239560
Epoch:122 Loss:1.92746035
Epoch:123 Loss:1.93363330
Epoch:124 Loss:1.91296502
Epoch:125 Loss:1.91850551
Epoch:126 Loss:1.91933148
Epoch:127 Loss:1.92092905
Epoch:128 Loss:1.93588754
Epoch:129 Loss:1.90217536
Epoch:130 Loss:1.91065157
Epoch:131 Loss:1.92259862
Epoch:132 Loss:1.91350867
Epoch:133 Loss:1.90548154
Epoch:134 Loss:1.88892353
Epoch:135 Loss:1.88527744
Epoch:136 Loss:1.88511993
Epoch:137 Loss:1.86624233
Epoch:138 Loss:1.89173700
Epoch:139 Loss:1.89148429
Epoch:140 Loss:1.86998823
Epoch:141 Loss:1.85778671
Epoch:142 Loss:1.86338409
Epoch:143 Loss:1.86540614
Epoch:144 Loss:1.84864945
Epoch:145 Loss:1.87088823
Epoch:146 Loss:1.86094481
Epoch:147 Loss:1.86600909
Epoch:148 Loss:1.85926600
Epoch:149 Loss:1.86226885
Epoch:150 Loss:1.84459227
Epoch:151 Loss:1.84292682
Epoch:152 Loss:1.84746291
Epoch:153 Loss:1.83306548
Epoch:154 Loss:1.83152282
Epoch:155 Loss:1.83510187
Epoch:156 Loss:1.84350596
Epoch:157 Loss:1.82704551
Epoch:158 Loss:1.83697327
Epoch:159 Loss:1.82207514
Epoch:160 Loss:1.84108895
Epoch:161 Loss:1.83276924
Epoch:162 Loss:1.81053780
Epoch:163 Loss:1.81209682
Epoch:164 Loss:1.81601275
Epoch:165 Loss:1.81838354
Epoch:166 Loss:1.80969858
Epoch:167 Loss:1.80605750
Epoch:168 Loss:1.82809806
Epoch:169 Loss:1.80892431
Epoch:170 Loss:1.80059474
Epoch:171 Loss:1.80712564
Epoch:172 Loss:1.79476380
Epoch:173 Loss:1.78974875
Epoch:174 Loss:1.79320918
Epoch:175 Loss:1.78474147
Epoch:176 Loss:1.79505859
Epoch:177 Loss:1.77571520
Epoch:178 Loss:1.77934684
Epoch:179 Loss:1.78286870
Epoch:180 Loss:1.78421760
Epoch:181 Loss:1.77842116
Epoch:182 Loss:1.78223999
Epoch:183 Loss:1.76454724
Epoch:184 Loss:1.76473472
Epoch:185 Loss:1.76532174
Epoch:186 Loss:1.76862471
Epoch:187 Loss:1.74523118
Epoch:188 Loss:1.76997094
Epoch:189 Loss:1.77608824
Epoch:190 Loss:1.75175176
Epoch:191 Loss:1.75258969
Epoch:192 Loss:1.75593555
Epoch:193 Loss:1.75694164
Epoch:194 Loss:1.74521689
Epoch:195 Loss:1.75205565
Epoch:196 Loss:1.75546310
Epoch:197 Loss:1.75538806
Epoch:198 Loss:1.74843938
Epoch:199 Loss:1.74803099
Epoch:200 Loss:1.75002646
Epoch:201 Loss:1.73488871
Epoch:202 Loss:1.74616616
Epoch:203 Loss:1.73619073
Epoch:204 Loss:1.72263977
Epoch:205 Loss:1.72894721
Epoch:206 Loss:1.72548091
Epoch:207 Loss:1.72934905
Epoch:208 Loss:1.71720208
Epoch:209 Loss:1.71273403
Epoch:210 Loss:1.72642617
Epoch:211 Loss:1.72030970
Epoch:212 Loss:1.72912817
Epoch:213 Loss:1.71556220
Epoch:214 Loss:1.71741278
Epoch:215 Loss:1.71991268
Epoch:216 Loss:1.70723865
Epoch:217 Loss:1.71590777
Epoch:218 Loss:1.70698022
Epoch:219 Loss:1.70338965
Epoch:220 Loss:1.68417810
Epoch:221 Loss:1.68608371
Epoch:222 Loss:1.69740095
Epoch:223 Loss:1.68602299
Epoch:224 Loss:1.69630634
Epoch:225 Loss:1.68629658
Epoch:226 Loss:1.68844959
Epoch:227 Loss:1.70061722
Epoch:228 Loss:1.69888304
Epoch:229 Loss:1.68364345
Epoch:230 Loss:1.68942000
Epoch:231 Loss:1.67818820
