nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:3.74396534
Epoch:1 Loss:3.44941296
Epoch:2 Loss:3.25254367
Epoch:3 Loss:3.18480920
Epoch:4 Loss:3.11244764
Epoch:5 Loss:3.03690441
Epoch:6 Loss:2.93201838
Epoch:7 Loss:2.84682713
Epoch:8 Loss:2.78871614
Epoch:9 Loss:2.74202681
Epoch:10 Loss:2.71009318
Epoch:11 Loss:2.70215419
Epoch:12 Loss:2.66614394
Epoch:13 Loss:2.64280947
Epoch:14 Loss:2.62933082
Epoch:15 Loss:2.60683221
Epoch:16 Loss:2.60900396
Epoch:17 Loss:2.60073709
Epoch:18 Loss:2.59712495
Epoch:19 Loss:2.56232194
Epoch:20 Loss:2.56681533
Epoch:21 Loss:2.56280057
Epoch:22 Loss:2.54371877
Epoch:23 Loss:2.53167899
Epoch:24 Loss:2.53721718
Epoch:25 Loss:2.51455857
Epoch:26 Loss:2.51014280
Epoch:27 Loss:2.50745665
Epoch:28 Loss:2.50044242
Epoch:29 Loss:2.49423059
Epoch:30 Loss:2.47082943
Epoch:31 Loss:2.46780476
Epoch:32 Loss:2.46219537
Epoch:33 Loss:2.45373886
Epoch:34 Loss:2.46611724
Epoch:35 Loss:2.42814193
Epoch:36 Loss:2.44744028
Epoch:37 Loss:2.43696029
Epoch:38 Loss:2.41534680
Epoch:39 Loss:2.41869373
Epoch:40 Loss:2.41831925
Epoch:41 Loss:2.42459439
Epoch:42 Loss:2.40612958
Epoch:43 Loss:2.39879102
Epoch:44 Loss:2.40423289
Epoch:45 Loss:2.39214323
Epoch:46 Loss:2.36344019
Epoch:47 Loss:2.36834412
Epoch:48 Loss:2.35405550
Epoch:49 Loss:2.36358062
Epoch:50 Loss:2.35878665
Epoch:51 Loss:2.36700487
Epoch:52 Loss:2.35198715
Epoch:53 Loss:2.33389346
Epoch:54 Loss:2.34931906
Epoch:55 Loss:2.32793911
Epoch:56 Loss:2.33915378
Epoch:57 Loss:2.31464905
Epoch:58 Loss:2.31334882
Epoch:59 Loss:2.29579473
Epoch:60 Loss:2.29270820
Epoch:61 Loss:2.28976488
Epoch:62 Loss:2.28908044
Epoch:63 Loss:2.27764842
Epoch:64 Loss:2.27867386
Epoch:65 Loss:2.27375379
Epoch:66 Loss:2.26746649
Epoch:67 Loss:2.24534133
Epoch:68 Loss:2.24719183
Epoch:69 Loss:2.22481530
Epoch:70 Loss:2.23571322
Epoch:71 Loss:2.22073220
Epoch:72 Loss:2.21828899
Epoch:73 Loss:2.20316621
Epoch:74 Loss:2.19835268
Epoch:75 Loss:2.19080231
Epoch:76 Loss:2.17739812
Epoch:77 Loss:2.17580638
Epoch:78 Loss:2.17048516
Epoch:79 Loss:2.14457965
Epoch:80 Loss:2.15228771
Epoch:81 Loss:2.14033926
Epoch:82 Loss:2.14072377
Epoch:83 Loss:2.14393070
Epoch:84 Loss:2.13653079
Epoch:85 Loss:2.11653103
Epoch:86 Loss:2.12045340
Epoch:87 Loss:2.10080578
Epoch:88 Loss:2.09305269
Epoch:89 Loss:2.09363600
Epoch:90 Loss:2.08377555
Epoch:91 Loss:2.07878500
Epoch:92 Loss:2.07618032
Epoch:93 Loss:2.07897612
Epoch:94 Loss:2.06871690
Epoch:95 Loss:2.04878560
Epoch:96 Loss:2.04449032
Epoch:97 Loss:2.04567925
Epoch:98 Loss:2.03587230
Epoch:99 Loss:2.04040916
Epoch:100 Loss:2.04420085
Epoch:101 Loss:2.03194684
Epoch:102 Loss:2.01710079
Epoch:103 Loss:2.01587720
Epoch:104 Loss:2.01368206
Epoch:105 Loss:2.01955136
Epoch:106 Loss:2.01328225
Epoch:107 Loss:2.00358407
Epoch:108 Loss:1.99800308
Epoch:109 Loss:1.99393786
Epoch:110 Loss:1.98614349
Epoch:111 Loss:1.98281377
Epoch:112 Loss:1.96904909
Epoch:113 Loss:1.98337575
Epoch:114 Loss:1.96216505
Epoch:115 Loss:1.96289919
Epoch:116 Loss:1.95985302
Epoch:117 Loss:1.95190303
Epoch:118 Loss:1.93517377
Epoch:119 Loss:1.93614790
Epoch:120 Loss:1.95011824
Epoch:121 Loss:1.93482246
Epoch:122 Loss:1.93089759
Epoch:123 Loss:1.94216120
Epoch:124 Loss:1.92859947
Epoch:125 Loss:1.91839913
Epoch:126 Loss:1.90985280
Epoch:127 Loss:1.91298679
Epoch:128 Loss:1.92380380
Epoch:129 Loss:1.91609178
Epoch:130 Loss:1.90968388
Epoch:131 Loss:1.91200979
Epoch:132 Loss:1.89088073
Epoch:133 Loss:1.90570852
Epoch:134 Loss:1.88550305
Epoch:135 Loss:1.89203599
Epoch:136 Loss:1.88946710
Epoch:137 Loss:1.87094185
Epoch:138 Loss:1.88279184
Epoch:139 Loss:1.89552983
Epoch:140 Loss:1.87341347
Epoch:141 Loss:1.86762154
Epoch:142 Loss:1.86094408
Epoch:143 Loss:1.86211440
Epoch:144 Loss:1.85245161
Epoch:145 Loss:1.86669242
Epoch:146 Loss:1.86832180
Epoch:147 Loss:1.85090519
Epoch:148 Loss:1.86247161
Epoch:149 Loss:1.85299308
Epoch:150 Loss:1.85697220
Epoch:151 Loss:1.82974078
Epoch:152 Loss:1.85810106
Epoch:153 Loss:1.83006629
Epoch:154 Loss:1.84205630
Epoch:155 Loss:1.83784676
Epoch:156 Loss:1.83908417
Epoch:157 Loss:1.81884581
Epoch:158 Loss:1.83661923
Epoch:159 Loss:1.81385234
Epoch:160 Loss:1.84292011
Epoch:161 Loss:1.83479079
Epoch:162 Loss:1.81842940
Epoch:163 Loss:1.81331799
Epoch:164 Loss:1.80620867
Epoch:165 Loss:1.81779181
Epoch:166 Loss:1.80111565
Epoch:167 Loss:1.80678995
Epoch:168 Loss:1.79445036
Epoch:169 Loss:1.80510464
Epoch:170 Loss:1.79043355
Epoch:171 Loss:1.79370668
Epoch:172 Loss:1.78597424
Epoch:173 Loss:1.77808811
Epoch:174 Loss:1.79465998
Epoch:175 Loss:1.78777133
Epoch:176 Loss:1.79226414
Epoch:177 Loss:1.78257515
Epoch:178 Loss:1.76450723
Epoch:179 Loss:1.78680987
Epoch:180 Loss:1.76514245
Epoch:181 Loss:1.77209604
Epoch:182 Loss:1.77709573
Epoch:183 Loss:1.77668473
Epoch:184 Loss:1.74808058
Epoch:185 Loss:1.75956601
Epoch:186 Loss:1.76144891
Epoch:187 Loss:1.74694296
Epoch:188 Loss:1.76854700
Epoch:189 Loss:1.75651038
Epoch:190 Loss:1.73235055
Epoch:191 Loss:1.76024600
Epoch:192 Loss:1.75391687
Epoch:193 Loss:1.76097120
Epoch:194 Loss:1.75209247
Epoch:195 Loss:1.74132872
Epoch:196 Loss:1.74788212
Epoch:197 Loss:1.73825152
Epoch:198 Loss:1.73573205
Epoch:199 Loss:1.74151074
Epoch:200 Loss:1.73129989
Epoch:201 Loss:1.71588233
Epoch:202 Loss:1.73584551
Epoch:203 Loss:1.72454371
Epoch:204 Loss:1.72472757
Epoch:205 Loss:1.72079953
Epoch:206 Loss:1.72732491
Epoch:207 Loss:1.71487823
Epoch:208 Loss:1.72743276
Epoch:209 Loss:1.71412590
Epoch:210 Loss:1.72302257
Epoch:211 Loss:1.71493543
Epoch:212 Loss:1.71081683
Epoch:213 Loss:1.70361084
Epoch:214 Loss:1.70448809
Epoch:215 Loss:1.70650536
Epoch:216 Loss:1.69911874
Epoch:217 Loss:1.70843803
Epoch:218 Loss:1.70822556
Epoch:219 Loss:1.70230554
Epoch:220 Loss:1.69132555
Epoch:221 Loss:1.68737372
Epoch:222 Loss:1.69228533
Epoch:223 Loss:1.69596285
Epoch:224 Loss:1.68221855
Epoch:225 Loss:1.68919809
Epoch:226 Loss:1.68639660
Epoch:227 Loss:1.67903949
Epoch:228 Loss:1.68754742
Epoch:229 Loss:1.68119249
Epoch:230 Loss:1.67010688
Epoch:231 Loss:1.66894448
