nohup: 忽略输入
Dataset: citeseer

# Run:0 with random seed:1
Epoch:0 Loss:1.13873615
Epoch:1 Loss:1.13868186
Epoch:2 Loss:1.13837511
Epoch:3 Loss:1.13687205
Epoch:4 Loss:1.13167214
Epoch:5 Loss:1.11949809
Epoch:6 Loss:1.09636350
Epoch:7 Loss:1.06341447
Epoch:8 Loss:1.03469980
Epoch:9 Loss:1.01511882
Epoch:10 Loss:1.00068717
Epoch:11 Loss:0.98225687
Epoch:12 Loss:0.97316607
Epoch:13 Loss:0.95618272
Epoch:14 Loss:0.93707031
Epoch:15 Loss:0.92144997
Epoch:16 Loss:0.90882661
Epoch:17 Loss:0.89492934
Epoch:18 Loss:0.88250905
Epoch:19 Loss:0.86661587
Epoch:20 Loss:0.85971127
Epoch:21 Loss:0.84533218
Epoch:22 Loss:0.83268222
Epoch:23 Loss:0.82018098
Epoch:24 Loss:0.81345970
Epoch:25 Loss:0.80509282
Epoch:26 Loss:0.79505937
Epoch:27 Loss:0.78554829
Epoch:28 Loss:0.76967047
Epoch:29 Loss:0.76552666
Epoch:30 Loss:0.76097577
Epoch:31 Loss:0.74396454
Epoch:32 Loss:0.74036479
Epoch:33 Loss:0.72566701
Epoch:34 Loss:0.71481436
Epoch:35 Loss:0.70990872
Epoch:36 Loss:0.70549473
Epoch:37 Loss:0.69841090
Epoch:38 Loss:0.68192663
Epoch:39 Loss:0.67693373
Epoch:40 Loss:0.67156182
Epoch:41 Loss:0.66948865
Epoch:42 Loss:0.65997155
Epoch:43 Loss:0.65702442
Epoch:44 Loss:0.65427720
Epoch:45 Loss:0.63416897
Epoch:46 Loss:0.64174888
Epoch:47 Loss:0.63607943
Epoch:48 Loss:0.62790701
Epoch:49 Loss:0.61813360
Epoch:50 Loss:0.61925091
Epoch:51 Loss:0.61564998
Epoch:52 Loss:0.60761651
Epoch:53 Loss:0.60237741
Epoch:54 Loss:0.60426454
Epoch:55 Loss:0.59954232
Epoch:56 Loss:0.58960985
Epoch:57 Loss:0.58867778
Epoch:58 Loss:0.57945603
Epoch:59 Loss:0.57771662
Epoch:60 Loss:0.58364503
Epoch:61 Loss:0.57263750
Epoch:62 Loss:0.57242055
Epoch:63 Loss:0.57299255
Epoch:64 Loss:0.56857744
Epoch:65 Loss:0.55998389
Epoch:66 Loss:0.56344907
Epoch:67 Loss:0.55940927
Epoch:68 Loss:0.54687266
Epoch:69 Loss:0.55107283
Epoch:70 Loss:0.55084455
Epoch:71 Loss:0.54924798
Epoch:72 Loss:0.54121272
Epoch:73 Loss:0.53438643
Epoch:74 Loss:0.53019688
Epoch:75 Loss:0.53523070
Epoch:76 Loss:0.52812418
Epoch:77 Loss:0.52747511
Epoch:78 Loss:0.52804820
Epoch:79 Loss:0.52238627
Epoch:80 Loss:0.52865136
Epoch:81 Loss:0.53026540
Epoch:82 Loss:0.51742746
Epoch:83 Loss:0.51672275
Epoch:84 Loss:0.51538203
Epoch:85 Loss:0.51913966
Epoch:86 Loss:0.51276786
Epoch:87 Loss:0.51659199
Epoch:88 Loss:0.50409452
Epoch:89 Loss:0.50114469
Epoch:90 Loss:0.49840444
Epoch:91 Loss:0.50181332
Epoch:92 Loss:0.49666064
Epoch:93 Loss:0.49676177
Epoch:94 Loss:0.50083896
Epoch:95 Loss:0.49664350
Epoch:96 Loss:0.49784519
Epoch:97 Loss:0.48490315
Epoch:98 Loss:0.50216937
Epoch:99 Loss:0.48918856
Epoch:100 Loss:0.48747426
Epoch:101 Loss:0.48305623
Epoch:102 Loss:0.47865094
Epoch:103 Loss:0.48287182
Epoch:104 Loss:0.48104956
Epoch:105 Loss:0.49136286
Epoch:106 Loss:0.48203570
Epoch:107 Loss:0.46849789
Epoch:108 Loss:0.47812413
Epoch:109 Loss:0.46987201
Epoch:110 Loss:0.46952507
Epoch:111 Loss:0.46614462
Epoch:112 Loss:0.46671100
Epoch:113 Loss:0.46178328
Epoch:114 Loss:0.46987949
Epoch:115 Loss:0.47173642
Epoch:116 Loss:0.45626276
Epoch:117 Loss:0.45744635
Epoch:118 Loss:0.45564284
Epoch:119 Loss:0.45642297
Epoch:120 Loss:0.46191622
Epoch:121 Loss:0.45606067
Epoch:122 Loss:0.45087255
Epoch:123 Loss:0.44929525
Epoch:124 Loss:0.44913467
Epoch:125 Loss:0.45102752
Epoch:126 Loss:0.44555815
Epoch:127 Loss:0.45601841
Epoch:128 Loss:0.44724626
Epoch:129 Loss:0.44017261
Epoch:130 Loss:0.44107944
Epoch:131 Loss:0.43996258
Epoch:132 Loss:0.44061766
Epoch:133 Loss:0.43910699
Epoch:134 Loss:0.44884234
Epoch:135 Loss:0.44101066
Epoch:136 Loss:0.44324147
Epoch:137 Loss:0.43893966
Epoch:138 Loss:0.43333289
Epoch:139 Loss:0.43835494
Epoch:140 Loss:0.42902428
Epoch:141 Loss:0.43033278
Epoch:142 Loss:0.43005022
Epoch:143 Loss:0.43396880
Epoch:144 Loss:0.43452192
Epoch:145 Loss:0.42689191
Epoch:146 Loss:0.43609333
Epoch:147 Loss:0.42230590
Epoch:148 Loss:0.42552840
Epoch:149 Loss:0.43474435
Epoch:150 Loss:0.42866416
Epoch:151 Loss:0.43020013
Epoch:152 Loss:0.41869626
Epoch:153 Loss:0.42749755
Epoch:154 Loss:0.42255430
Epoch:155 Loss:0.41937649
Epoch:156 Loss:0.42459415
Epoch:157 Loss:0.42094687
Epoch:158 Loss:0.41782577
Epoch:159 Loss:0.42678277
Epoch:160 Loss:0.41721257
Epoch:161 Loss:0.41511860
Epoch:162 Loss:0.41526754
Epoch:163 Loss:0.41564458
Epoch:164 Loss:0.39922959
Epoch:165 Loss:0.41354963
Epoch:166 Loss:0.41686994
Epoch:167 Loss:0.40969899
Epoch:168 Loss:0.41166454
Epoch:169 Loss:0.40088589
Epoch:170 Loss:0.40269122
Epoch:171 Loss:0.40026981
Epoch:172 Loss:0.40872146
Epoch:173 Loss:0.39615269
Epoch:174 Loss:0.40906604
Epoch:175 Loss:0.39937864
Epoch:176 Loss:0.40291573
Epoch:177 Loss:0.39943665
Epoch:178 Loss:0.39555995
Epoch:179 Loss:0.39983720
Epoch:180 Loss:0.38805784
Epoch:181 Loss:0.40104872
Epoch:182 Loss:0.39029784
Epoch:183 Loss:0.39860317
Epoch:184 Loss:0.38870982
Epoch:185 Loss:0.40195121
Epoch:186 Loss:0.39646351
Epoch:187 Loss:0.40215786
Epoch:188 Loss:0.39766945
Epoch:189 Loss:0.39441461
Epoch:190 Loss:0.38857234
Epoch:191 Loss:0.38888739
Epoch:192 Loss:0.39018699
Epoch:193 Loss:0.38566851
Epoch:194 Loss:0.38259407
Epoch:195 Loss:0.38694867
Epoch:196 Loss:0.37793147
Epoch:197 Loss:0.38172183
Epoch:198 Loss:0.38094018
Epoch:199 Loss:0.38001261
Epoch:200 Loss:0.38117036
Epoch:201 Loss:0.36792689
Epoch:202 Loss:0.37893537
Epoch:203 Loss:0.37499989
Epoch:204 Loss:0.37326946
Epoch:205 Loss:0.37269636
Epoch:206 Loss:0.38000535
Epoch:207 Loss:0.37428337
Epoch:208 Loss:0.37614882
Epoch:209 Loss:0.37010803
Epoch:210 Loss:0.37192460
Epoch:211 Loss:0.37924447
Epoch:212 Loss:0.36878625
Epoch:213 Loss:0.36467100
Epoch:214 Loss:0.36519335
Epoch:215 Loss:0.37161791
Epoch:216 Loss:0.37623488
Epoch:217 Loss:0.37212987
Epoch:218 Loss:0.37439368
Epoch:219 Loss:0.36286153
Epoch:220 Loss:0.36563804
Epoch:221 Loss:0.37093968
Epoch:222 Loss:0.35739965
Epoch:223 Loss:0.35990868
Epoch:224 Loss:0.35996664
Epoch:225 Loss:0.35724860
Epoch:226 Loss:0.36574854
Epoch:227 Loss:0.35664625
Epoch:228 Loss:0.35969370
Epoch:229 Loss:0.36060904
Epoch:230 Loss:0.36155787
Epoch:231 Loss:0.34670722
Epoch:232 Loss:0.35772951
Epoch:233 Loss:0.36416014
Epoch:234 Loss:0.35252684
Epoch:235 Loss:0.36305933
Epoch:236 Loss:0.35032740
Epoch:237 Loss:0.35591190
Epoch:238 Loss:0.35467377
Epoch:239 Loss:0.35421114
Epoch:240 Loss:0.34599092
Epoch:241 Loss:0.35232437
Epoch:242 Loss:0.35310208
Epoch:243 Loss:0.34899266
Epoch:244 Loss:0.34889673
Epoch:245 Loss:0.34380564
Epoch:246 Loss:0.35689511
Epoch:247 Loss:0.34189651
Epoch:248 Loss:0.34610239
Epoch:249 Loss:0.33833632
Epoch:250 Loss:0.34184947
Epoch:251 Loss:0.33861680
Epoch:252 Loss:0.34205898
Epoch:253 Loss:0.34100303
Epoch:254 Loss:0.34351052
Epoch:255 Loss:0.34194434
Epoch:256 Loss:0.33784991
Epoch:257 Loss:0.33160567
Epoch:258 Loss:0.33749135
Epoch:259 Loss:0.33388356
Epoch:260 Loss:0.34115956
Epoch:261 Loss:0.34569784
Epoch:262 Loss:0.33579308
Epoch:263 Loss:0.33452433
Epoch:264 Loss:0.33878275
Epoch:265 Loss:0.33303076
Epoch:266 Loss:0.32617873
Epoch:267 Loss:0.33856560
Epoch:268 Loss:0.33831284
Epoch:269 Loss:0.33204725
Epoch:270 Loss:0.33749549
Epoch:271 Loss:0.32152419
Epoch:272 Loss:0.33007396
Epoch:273 Loss:0.32457311
Epoch:274 Loss:0.33058847
Epoch:275 Loss:0.32348984
Epoch:276 Loss:0.32525739
Epoch:277 Loss:0.32108456
Epoch:278 Loss:0.32692550
Epoch:279 Loss:0.32742368
Epoch:280 Loss:0.32503290
Epoch:281 Loss:0.31502692
Epoch:282 Loss:0.31876845
Epoch:283 Loss:0.32124159
Epoch:284 Loss:0.32264018
Epoch:285 Loss:0.31769906
Epoch:286 Loss:0.32283686
Epoch:287 Loss:0.31022986
Epoch:288 Loss:0.32191746
Epoch:289 Loss:0.32131761
Epoch:290 Loss:0.32557076
Epoch:291 Loss:0.32519463
Epoch:292 Loss:0.31758692
Epoch:293 Loss:0.31872940
Epoch:294 Loss:0.32280661
Epoch:295 Loss:0.31988728
Epoch:296 Loss:0.31913998
Epoch:297 Loss:0.30942153
Epoch:298 Loss:0.31277371
Epoch:299 Loss:0.30788076
Epoch:300 Loss:0.31425426
Epoch:301 Loss:0.30874635
Epoch:302 Loss:0.31424564
Epoch:303 Loss:0.31237697
Epoch:304 Loss:0.30782839
Epoch:305 Loss:0.30877342
Epoch:306 Loss:0.31198180
Epoch:307 Loss:0.30621168
Epoch:308 Loss:0.30462272
Epoch:309 Loss:0.30467724
Epoch:310 Loss:0.30532745
Epoch:311 Loss:0.30871942
Epoch:312 Loss:0.30544068
Epoch:313 Loss:0.30619566
Epoch:314 Loss:0.30751824
Epoch:315 Loss:0.31078359
Epoch:316 Loss:0.30596402
Epoch:317 Loss:0.30292168
Epoch:318 Loss:0.29974183
Epoch:319 Loss:0.30677478
Epoch:320 Loss:0.30113187
Epoch:321 Loss:0.30966464
Epoch:322 Loss:0.30749716
Epoch:323 Loss:0.30407234
Epoch:324 Loss:0.30229305
Epoch:325 Loss:0.30488811
Epoch:326 Loss:0.29419365
Epoch:327 Loss:0.29496519
Epoch:328 Loss:0.29383307
Epoch:329 Loss:0.29138277
Epoch:330 Loss:0.29572265
Epoch:331 Loss:0.29518756
Epoch:332 Loss:0.29868022
Epoch:333 Loss:0.29364637
Epoch:334 Loss:0.29465770
Epoch:335 Loss:0.28992518
Epoch:336 Loss:0.29642394
Epoch:337 Loss:0.29786114
Epoch:338 Loss:0.29500862
Epoch:339 Loss:0.28455296
Epoch:340 Loss:0.29545196
Epoch:341 Loss:0.28827043
Epoch:342 Loss:0.29229041
Epoch:343 Loss:0.29091432
Epoch:344 Loss:0.28917097
Epoch:345 Loss:0.28628525
Epoch:346 Loss:0.29195615
Epoch:347 Loss:0.29335367
Epoch:348 Loss:0.28447083
Epoch:349 Loss:0.28061220
Epoch:350 Loss:0.29149675
Epoch:351 Loss:0.28142060
Epoch:352 Loss:0.29082876
Epoch:353 Loss:0.28829137
Epoch:354 Loss:0.28958207
Epoch:355 Loss:0.28374896
Epoch:356 Loss:0.29417349
Epoch:357 Loss:0.28504124
