nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:2.36848547
Epoch:1 Loss:2.23791873
Epoch:2 Loss:2.17536656
Epoch:3 Loss:2.14775565
Epoch:4 Loss:2.09796088
Epoch:5 Loss:2.02898881
Epoch:6 Loss:1.94233323
Epoch:7 Loss:1.87351086
Epoch:8 Loss:1.82989689
Epoch:9 Loss:1.78350253
Epoch:10 Loss:1.76551810
Epoch:11 Loss:1.75016285
Epoch:12 Loss:1.73778335
Epoch:13 Loss:1.72695189
Epoch:14 Loss:1.72024550
Epoch:15 Loss:1.70273014
Epoch:16 Loss:1.69191635
Epoch:17 Loss:1.69957114
Epoch:18 Loss:1.68531888
Epoch:19 Loss:1.67453727
Epoch:20 Loss:1.67691383
Epoch:21 Loss:1.66200924
Epoch:22 Loss:1.64682039
Epoch:23 Loss:1.64619583
Epoch:24 Loss:1.63856656
Epoch:25 Loss:1.63257515
Epoch:26 Loss:1.62878794
Epoch:27 Loss:1.62996945
Epoch:28 Loss:1.61628871
Epoch:29 Loss:1.60411353
Epoch:30 Loss:1.59834551
Epoch:31 Loss:1.58126272
Epoch:32 Loss:1.58206024
Epoch:33 Loss:1.58141164
Epoch:34 Loss:1.58495908
Epoch:35 Loss:1.57246111
Epoch:36 Loss:1.57164771
Epoch:37 Loss:1.57098571
Epoch:38 Loss:1.57153345
Epoch:39 Loss:1.55871053
Epoch:40 Loss:1.56085253
Epoch:41 Loss:1.56345380
Epoch:42 Loss:1.54749588
Epoch:43 Loss:1.54001666
Epoch:44 Loss:1.55377820
Epoch:45 Loss:1.54635484
Epoch:46 Loss:1.53593761
Epoch:47 Loss:1.52355458
Epoch:48 Loss:1.53717629
Epoch:49 Loss:1.53108306
Epoch:50 Loss:1.52839484
Epoch:51 Loss:1.52747300
Epoch:52 Loss:1.51441277
Epoch:53 Loss:1.51823468
Epoch:54 Loss:1.51286393
Epoch:55 Loss:1.51128389
Epoch:56 Loss:1.51506469
Epoch:57 Loss:1.51234316
Epoch:58 Loss:1.50192924
Epoch:59 Loss:1.50219522
Epoch:60 Loss:1.49694198
Epoch:61 Loss:1.48398997
Epoch:62 Loss:1.49457617
Epoch:63 Loss:1.47865770
Epoch:64 Loss:1.47990999
Epoch:65 Loss:1.49502314
Epoch:66 Loss:1.46484190
Epoch:67 Loss:1.47385675
Epoch:68 Loss:1.47737184
Epoch:69 Loss:1.47208872
Epoch:70 Loss:1.46231243
Epoch:71 Loss:1.45675692
Epoch:72 Loss:1.45879425
Epoch:73 Loss:1.47031377
Epoch:74 Loss:1.45925110
Epoch:75 Loss:1.45719046
Epoch:76 Loss:1.45011646
Epoch:77 Loss:1.44686670
Epoch:78 Loss:1.43931743
Epoch:79 Loss:1.44637057
Epoch:80 Loss:1.43288445
Epoch:81 Loss:1.43412083
Epoch:82 Loss:1.42837374
Epoch:83 Loss:1.42531010
Epoch:84 Loss:1.42106637
Epoch:85 Loss:1.42565133
Epoch:86 Loss:1.43850518
Epoch:87 Loss:1.42183060
Epoch:88 Loss:1.41285517
Epoch:89 Loss:1.41742201
Epoch:90 Loss:1.40706528
Epoch:91 Loss:1.40547833
Epoch:92 Loss:1.39180566
Epoch:93 Loss:1.40736498
Epoch:94 Loss:1.39321104
Epoch:95 Loss:1.39851125
Epoch:96 Loss:1.37770083
Epoch:97 Loss:1.38320863
Epoch:98 Loss:1.37451285
Epoch:99 Loss:1.37794430
Epoch:100 Loss:1.37614793
Epoch:101 Loss:1.37595253
Epoch:102 Loss:1.37609306
Epoch:103 Loss:1.36815644
Epoch:104 Loss:1.36716580
Epoch:105 Loss:1.36353722
Epoch:106 Loss:1.35549150
Epoch:107 Loss:1.36037155
Epoch:108 Loss:1.35133750
Epoch:109 Loss:1.36136743
Epoch:110 Loss:1.35415842
Epoch:111 Loss:1.34454708
Epoch:112 Loss:1.34185085
Epoch:113 Loss:1.34189838
Epoch:114 Loss:1.33063888
Epoch:115 Loss:1.34374174
Epoch:116 Loss:1.33906229
Epoch:117 Loss:1.32439593
Epoch:118 Loss:1.33138015
Epoch:119 Loss:1.32821600
Epoch:120 Loss:1.32450755
Epoch:121 Loss:1.31554159
Epoch:122 Loss:1.33573861
Epoch:123 Loss:1.31249156
Epoch:124 Loss:1.31287016
Epoch:125 Loss:1.30846091
Epoch:126 Loss:1.30883238
Epoch:127 Loss:1.30191889
Epoch:128 Loss:1.29676543
Epoch:129 Loss:1.30583688
Epoch:130 Loss:1.31219717
Epoch:131 Loss:1.30108242
Epoch:132 Loss:1.29703077
Epoch:133 Loss:1.29234221
Epoch:134 Loss:1.29026511
Epoch:135 Loss:1.29954333
Epoch:136 Loss:1.31073067
Epoch:137 Loss:1.28522055
Epoch:138 Loss:1.28607892
Epoch:139 Loss:1.27628642
Epoch:140 Loss:1.27858702
Epoch:141 Loss:1.27843468
Epoch:142 Loss:1.28044385
Epoch:143 Loss:1.27971904
Epoch:144 Loss:1.27558398
Epoch:145 Loss:1.27655885
Epoch:146 Loss:1.27365525
Epoch:147 Loss:1.27232196
Epoch:148 Loss:1.27330385
Epoch:149 Loss:1.26571229
Epoch:150 Loss:1.26677146
Epoch:151 Loss:1.27090187
Epoch:152 Loss:1.26730648
Epoch:153 Loss:1.26112897
Epoch:154 Loss:1.25163613
Epoch:155 Loss:1.24854555
Epoch:156 Loss:1.25505467
Epoch:157 Loss:1.24917213
Epoch:158 Loss:1.24776777
Epoch:159 Loss:1.24496832
Epoch:160 Loss:1.24904555
Epoch:161 Loss:1.25422475
Epoch:162 Loss:1.24061387
Epoch:163 Loss:1.23875370
Epoch:164 Loss:1.23714049
Epoch:165 Loss:1.24563145
Epoch:166 Loss:1.23169013
Epoch:167 Loss:1.24071495
Epoch:168 Loss:1.23325704
Epoch:169 Loss:1.24361562
Epoch:170 Loss:1.23178773
Epoch:171 Loss:1.22708143
Epoch:172 Loss:1.22501228
Epoch:173 Loss:1.21974759
Epoch:174 Loss:1.22537305
Epoch:175 Loss:1.23898055
Epoch:176 Loss:1.22762586
Epoch:177 Loss:1.22341399
Epoch:178 Loss:1.21254173
Epoch:179 Loss:1.22476590
Epoch:180 Loss:1.21710867
Epoch:181 Loss:1.21890367
Epoch:182 Loss:1.21619778
Epoch:183 Loss:1.20816523
Epoch:184 Loss:1.21043432
Epoch:185 Loss:1.20710737
Epoch:186 Loss:1.21246141
Epoch:187 Loss:1.19915051
Epoch:188 Loss:1.19892952
Epoch:189 Loss:1.21275712
Epoch:190 Loss:1.20770121
Epoch:191 Loss:1.19355918
Epoch:192 Loss:1.19272761
Epoch:193 Loss:1.19489189
Epoch:194 Loss:1.19112649
Epoch:195 Loss:1.19820231
Epoch:196 Loss:1.19407961
Epoch:197 Loss:1.19714131
Epoch:198 Loss:1.19072336
Epoch:199 Loss:1.19273962
Epoch:200 Loss:1.18830326
Epoch:201 Loss:1.17914026
Epoch:202 Loss:1.19263788
Epoch:203 Loss:1.18782411
Epoch:204 Loss:1.19313091
Epoch:205 Loss:1.18275924
Epoch:206 Loss:1.17854421
Epoch:207 Loss:1.19030714
Epoch:208 Loss:1.19085624
Epoch:209 Loss:1.17448843
Epoch:210 Loss:1.17520650
Epoch:211 Loss:1.17992183
Epoch:212 Loss:1.17371335
Epoch:213 Loss:1.17817629
Epoch:214 Loss:1.17602560
Epoch:215 Loss:1.17642747
Epoch:216 Loss:1.16855048
Epoch:217 Loss:1.17244293
Epoch:218 Loss:1.17217368
Epoch:219 Loss:1.16973696
Epoch:220 Loss:1.17419255
Epoch:221 Loss:1.16755189
Epoch:222 Loss:1.16693813
Epoch:223 Loss:1.15786529
Epoch:224 Loss:1.17774717
Epoch:225 Loss:1.16363248
Epoch:226 Loss:1.15649898
Epoch:227 Loss:1.15762041
Epoch:228 Loss:1.16175910
Epoch:229 Loss:1.16446354
Epoch:230 Loss:1.15027798
Epoch:231 Loss:1.17009015
