nohup: 忽略输入
Dataset: pubmed

# Run:0 with random seed:1
Epoch:0 Loss:1.87286231
Epoch:1 Loss:1.72081959
Epoch:2 Loss:1.62543708
Epoch:3 Loss:1.59290998
Epoch:4 Loss:1.55699855
Epoch:5 Loss:1.52833024
Epoch:6 Loss:1.49451470
Epoch:7 Loss:1.46170591
Epoch:8 Loss:1.42018414
Epoch:9 Loss:1.38454207
Epoch:10 Loss:1.36249052
Epoch:11 Loss:1.35146478
Epoch:12 Loss:1.33781312
Epoch:13 Loss:1.32683282
Epoch:14 Loss:1.32446040
Epoch:15 Loss:1.30768060
Epoch:16 Loss:1.30753974
Epoch:17 Loss:1.30390588
Epoch:18 Loss:1.29762726
Epoch:19 Loss:1.29232983
Epoch:20 Loss:1.28570181
Epoch:21 Loss:1.28743545
Epoch:22 Loss:1.27202309
Epoch:23 Loss:1.26719358
Epoch:24 Loss:1.27086072
Epoch:25 Loss:1.26183849
Epoch:26 Loss:1.26161751
Epoch:27 Loss:1.24863389
Epoch:28 Loss:1.25186116
Epoch:29 Loss:1.24517526
Epoch:30 Loss:1.23368036
Epoch:31 Loss:1.23635736
Epoch:32 Loss:1.22751208
Epoch:33 Loss:1.22441725
Epoch:34 Loss:1.22816848
Epoch:35 Loss:1.21648165
Epoch:36 Loss:1.21930285
Epoch:37 Loss:1.21867379
Epoch:38 Loss:1.20850223
Epoch:39 Loss:1.20892430
Epoch:40 Loss:1.20812499
Epoch:41 Loss:1.20812644
Epoch:42 Loss:1.20391322
Epoch:43 Loss:1.19476679
Epoch:44 Loss:1.20290640
Epoch:45 Loss:1.19457251
Epoch:46 Loss:1.18376460
Epoch:47 Loss:1.18456549
Epoch:48 Loss:1.18212808
Epoch:49 Loss:1.18177581
Epoch:50 Loss:1.17902465
Epoch:51 Loss:1.18065001
Epoch:52 Loss:1.17666736
Epoch:53 Loss:1.17199692
Epoch:54 Loss:1.17005286
Epoch:55 Loss:1.16469274
Epoch:56 Loss:1.17341625
Epoch:57 Loss:1.16259941
Epoch:58 Loss:1.15975277
Epoch:59 Loss:1.15132391
Epoch:60 Loss:1.15399370
Epoch:61 Loss:1.14789566
Epoch:62 Loss:1.14804973
Epoch:63 Loss:1.14529337
Epoch:64 Loss:1.14113463
Epoch:65 Loss:1.14361921
Epoch:66 Loss:1.13494420
Epoch:67 Loss:1.13199882
Epoch:68 Loss:1.12913769
Epoch:69 Loss:1.12653462
Epoch:70 Loss:1.12457584
Epoch:71 Loss:1.12246601
Epoch:72 Loss:1.11248830
Epoch:73 Loss:1.10903723
Epoch:74 Loss:1.11508859
Epoch:75 Loss:1.09977078
Epoch:76 Loss:1.10680030
Epoch:77 Loss:1.09863434
Epoch:78 Loss:1.09367094
Epoch:79 Loss:1.08317084
Epoch:80 Loss:1.08983567
Epoch:81 Loss:1.07367019
Epoch:82 Loss:1.07755360
Epoch:83 Loss:1.07152135
Epoch:84 Loss:1.06819362
Epoch:85 Loss:1.06471643
Epoch:86 Loss:1.06167616
Epoch:87 Loss:1.05424397
Epoch:88 Loss:1.04900998
Epoch:89 Loss:1.04740414
Epoch:90 Loss:1.04087642
Epoch:91 Loss:1.04532493
Epoch:92 Loss:1.02993842
Epoch:93 Loss:1.03272567
Epoch:94 Loss:1.03615187
Epoch:95 Loss:1.02701988
Epoch:96 Loss:1.02514024
Epoch:97 Loss:1.02759681
Epoch:98 Loss:1.01473609
Epoch:99 Loss:1.01604415
Epoch:100 Loss:1.01820453
Epoch:101 Loss:1.01475571
Epoch:102 Loss:1.01231899
Epoch:103 Loss:1.00135650
Epoch:104 Loss:0.99793107
Epoch:105 Loss:1.00047488
Epoch:106 Loss:0.99517766
Epoch:107 Loss:0.98889711
Epoch:108 Loss:1.00083269
Epoch:109 Loss:0.99554171
Epoch:110 Loss:0.98359007
Epoch:111 Loss:0.98189730
Epoch:112 Loss:0.98357611
Epoch:113 Loss:0.98067391
Epoch:114 Loss:0.97162288
Epoch:115 Loss:0.98187543
Epoch:116 Loss:0.96998847
Epoch:117 Loss:0.96257186
Epoch:118 Loss:0.96444140
Epoch:119 Loss:0.96383051
Epoch:120 Loss:0.95856563
Epoch:121 Loss:0.95515744
Epoch:122 Loss:0.95917981
Epoch:123 Loss:0.95650471
Epoch:124 Loss:0.95426303
Epoch:125 Loss:0.94227471
Epoch:126 Loss:0.94863506
Epoch:127 Loss:0.95367270
Epoch:128 Loss:0.95554377
Epoch:129 Loss:0.94437499
Epoch:130 Loss:0.94418334
Epoch:131 Loss:0.94425309
Epoch:132 Loss:0.94178982
Epoch:133 Loss:0.93857774
Epoch:134 Loss:0.93643459
Epoch:135 Loss:0.93590889
Epoch:136 Loss:0.94230641
Epoch:137 Loss:0.92989897
Epoch:138 Loss:0.93363928
Epoch:139 Loss:0.93033689
Epoch:140 Loss:0.92501262
Epoch:141 Loss:0.92821784
Epoch:142 Loss:0.91969596
Epoch:143 Loss:0.91698945
Epoch:144 Loss:0.92539797
Epoch:145 Loss:0.91707076
Epoch:146 Loss:0.91956222
Epoch:147 Loss:0.91465014
Epoch:148 Loss:0.91934981
Epoch:149 Loss:0.90980473
Epoch:150 Loss:0.91471398
Epoch:151 Loss:0.91239613
Epoch:152 Loss:0.91873520
Epoch:153 Loss:0.91257803
Epoch:154 Loss:0.90189947
Epoch:155 Loss:0.91102300
Epoch:156 Loss:0.90730106
Epoch:157 Loss:0.90705592
Epoch:158 Loss:0.90025456
Epoch:159 Loss:0.89710260
Epoch:160 Loss:0.90735766
Epoch:161 Loss:0.91339670
Epoch:162 Loss:0.89967849
Epoch:163 Loss:0.89630924
Epoch:164 Loss:0.88852487
Epoch:165 Loss:0.89404081
Epoch:166 Loss:0.88693094
Epoch:167 Loss:0.89500488
Epoch:168 Loss:0.89724528
Epoch:169 Loss:0.89006795
Epoch:170 Loss:0.88606106
Epoch:171 Loss:0.89230986
Epoch:172 Loss:0.88514361
Epoch:173 Loss:0.88560207
Epoch:174 Loss:0.88508226
Epoch:175 Loss:0.88980045
Epoch:176 Loss:0.89485691
Epoch:177 Loss:0.88595997
Epoch:178 Loss:0.88078913
Epoch:179 Loss:0.88457102
Epoch:180 Loss:0.88392729
Epoch:181 Loss:0.87906003
Epoch:182 Loss:0.87120553
Epoch:183 Loss:0.87882280
Epoch:184 Loss:0.87350523
Epoch:185 Loss:0.88027475
Epoch:186 Loss:0.87750158
Epoch:187 Loss:0.86490109
Epoch:188 Loss:0.87012347
Epoch:189 Loss:0.86851592
Epoch:190 Loss:0.87023287
Epoch:191 Loss:0.86969669
Epoch:192 Loss:0.87327909
Epoch:193 Loss:0.86329107
Epoch:194 Loss:0.86747730
Epoch:195 Loss:0.86066922
Epoch:196 Loss:0.86381915
Epoch:197 Loss:0.86796611
Epoch:198 Loss:0.86309352
Epoch:199 Loss:0.86417652
Epoch:200 Loss:0.86226500
Epoch:201 Loss:0.85482943
Epoch:202 Loss:0.86418193
Epoch:203 Loss:0.85212864
Epoch:204 Loss:0.85941516
Epoch:205 Loss:0.85215428
Epoch:206 Loss:0.86053577
Epoch:207 Loss:0.84866858
Epoch:208 Loss:0.85292501
Epoch:209 Loss:0.84803763
Epoch:210 Loss:0.84908201
Epoch:211 Loss:0.85897313
Epoch:212 Loss:0.85653300
Epoch:213 Loss:0.84486766
Epoch:214 Loss:0.84684747
Epoch:215 Loss:0.85263627
Epoch:216 Loss:0.83811406
Epoch:217 Loss:0.84817532
Epoch:218 Loss:0.84072125
Epoch:219 Loss:0.84273121
Epoch:220 Loss:0.84147471
Epoch:221 Loss:0.83201416
Epoch:222 Loss:0.83173297
Epoch:223 Loss:0.84520400
Epoch:224 Loss:0.84249495
Epoch:225 Loss:0.83572231
Epoch:226 Loss:0.84236316
Epoch:227 Loss:0.83020607
Epoch:228 Loss:0.83733369
Epoch:229 Loss:0.82770546
Epoch:230 Loss:0.82709920
Epoch:231 Loss:0.83584106
