nohup: 忽略输入
Dataset: cora

# Run:0 with random seed:1
Epoch:0 Loss:0.69314329
Epoch:1 Loss:0.69311930
Epoch:2 Loss:0.69306775
Epoch:3 Loss:0.69292218
Epoch:4 Loss:0.69253504
Epoch:5 Loss:0.69156361
Epoch:6 Loss:0.68941106
Epoch:7 Loss:0.68480104
Epoch:8 Loss:0.67822806
Epoch:9 Loss:0.66792413
Epoch:10 Loss:0.65312952
Epoch:11 Loss:0.63909674
Epoch:12 Loss:0.62319671
Epoch:13 Loss:0.61509133
Epoch:14 Loss:0.60357306
Epoch:15 Loss:0.59415022
Epoch:16 Loss:0.58682698
Epoch:17 Loss:0.58602427
Epoch:18 Loss:0.57318499
Epoch:19 Loss:0.58274708
Epoch:20 Loss:0.56523668
Epoch:21 Loss:0.55576941
Epoch:22 Loss:0.56682519
Epoch:23 Loss:0.55449608
Epoch:24 Loss:0.54827577
Epoch:25 Loss:0.54618235
Epoch:26 Loss:0.54062722
Epoch:27 Loss:0.53759809
Epoch:28 Loss:0.54418581
Epoch:29 Loss:0.53262666
Epoch:30 Loss:0.53226390
Epoch:31 Loss:0.53412452
Epoch:32 Loss:0.52329842
Epoch:33 Loss:0.53142284
Epoch:34 Loss:0.51933288
Epoch:35 Loss:0.51793972
Epoch:36 Loss:0.51714208
Epoch:37 Loss:0.51976597
Epoch:38 Loss:0.50590710
Epoch:39 Loss:0.51459794
Epoch:40 Loss:0.51264510
Epoch:41 Loss:0.49893197
Epoch:42 Loss:0.50940570
Epoch:43 Loss:0.50362791
Epoch:44 Loss:0.50656281
Epoch:45 Loss:0.49629627
Epoch:46 Loss:0.49952050
Epoch:47 Loss:0.49566527
Epoch:48 Loss:0.48193916
Epoch:49 Loss:0.48528787
Epoch:50 Loss:0.48430645
Epoch:51 Loss:0.49241990
Epoch:52 Loss:0.48201170
Epoch:53 Loss:0.48169066
Epoch:54 Loss:0.47572427
Epoch:55 Loss:0.47520027
Epoch:56 Loss:0.48053418
Epoch:57 Loss:0.47828412
Epoch:58 Loss:0.47796540
Epoch:59 Loss:0.47099074
Epoch:60 Loss:0.47213649
Epoch:61 Loss:0.45869529
Epoch:62 Loss:0.45863347
Epoch:63 Loss:0.46080046
Epoch:64 Loss:0.46047191
Epoch:65 Loss:0.45620855
Epoch:66 Loss:0.45274134
Epoch:67 Loss:0.46397743
Epoch:68 Loss:0.44901532
Epoch:69 Loss:0.45723263
Epoch:70 Loss:0.45091703
Epoch:71 Loss:0.43900554
Epoch:72 Loss:0.44071647
Epoch:73 Loss:0.44677946
Epoch:74 Loss:0.43991036
Epoch:75 Loss:0.44439020
Epoch:76 Loss:0.43744401
Epoch:77 Loss:0.44420128
Epoch:78 Loss:0.43530926
Epoch:79 Loss:0.44216124
