nohup: 忽略输入
Dataset: cora

# Run:0 with random seed:1
Epoch:0 Loss:0.20794291
Epoch:1 Loss:0.20793650
Epoch:2 Loss:0.20792240
Epoch:3 Loss:0.20788656
Epoch:4 Loss:0.20779096
Epoch:5 Loss:0.20754724
Epoch:6 Loss:0.20702164
Epoch:7 Loss:0.20583273
Epoch:8 Loss:0.20412525
Epoch:9 Loss:0.20136841
Epoch:10 Loss:0.19729152
Epoch:11 Loss:0.19329872
Epoch:12 Loss:0.18896695
Epoch:13 Loss:0.18590500
Epoch:14 Loss:0.18276134
Epoch:15 Loss:0.17964833
Epoch:16 Loss:0.17753423
Epoch:17 Loss:0.17780104
Epoch:18 Loss:0.17345071
Epoch:19 Loss:0.17582363
Epoch:20 Loss:0.17216250
Epoch:21 Loss:0.16781439
Epoch:22 Loss:0.16985995
Epoch:23 Loss:0.16703655
Epoch:24 Loss:0.16702109
Epoch:25 Loss:0.16492113
Epoch:26 Loss:0.16329796
Epoch:27 Loss:0.16293137
Epoch:28 Loss:0.16416109
Epoch:29 Loss:0.16120630
Epoch:30 Loss:0.16052639
Epoch:31 Loss:0.16074158
Epoch:32 Loss:0.15842336
Epoch:33 Loss:0.15854177
Epoch:34 Loss:0.15637437
Epoch:35 Loss:0.15718423
Epoch:36 Loss:0.15637094
Epoch:37 Loss:0.15672643
Epoch:38 Loss:0.15301592
Epoch:39 Loss:0.15536482
Epoch:40 Loss:0.15393963
Epoch:41 Loss:0.15024045
Epoch:42 Loss:0.15309294
Epoch:43 Loss:0.14999528
Epoch:44 Loss:0.15138395
Epoch:45 Loss:0.14912376
Epoch:46 Loss:0.14859677
Epoch:47 Loss:0.14888103
Epoch:48 Loss:0.14532527
Epoch:49 Loss:0.14627797
Epoch:50 Loss:0.14405526
Epoch:51 Loss:0.14574073
Epoch:52 Loss:0.14530942
Epoch:53 Loss:0.14436762
Epoch:54 Loss:0.14067506
Epoch:55 Loss:0.14212719
Epoch:56 Loss:0.14294754
Epoch:57 Loss:0.14174529
Epoch:58 Loss:0.14012091
Epoch:59 Loss:0.13873320
Epoch:60 Loss:0.14088332
Epoch:61 Loss:0.13611061
Epoch:62 Loss:0.13579724
Epoch:63 Loss:0.13663825
Epoch:64 Loss:0.13675297
Epoch:65 Loss:0.13418471
Epoch:66 Loss:0.13399208
Epoch:67 Loss:0.13884692
Epoch:68 Loss:0.13468944
Epoch:69 Loss:0.13375791
Epoch:70 Loss:0.13252413
Epoch:71 Loss:0.13042700
Epoch:72 Loss:0.12937694
Epoch:73 Loss:0.13011438
Epoch:74 Loss:0.12980650
Epoch:75 Loss:0.13126141
Epoch:76 Loss:0.12926355
Epoch:77 Loss:0.13102733
Epoch:78 Loss:0.12835034
Epoch:79 Loss:0.12972555
