nohup: 忽略输入
Dataset: citeseer

# Run:0 with random seed:1
Epoch:0 Loss:3.76278110
Epoch:1 Loss:3.76261196
Epoch:2 Loss:3.76167502
Epoch:3 Loss:3.75709979
Epoch:4 Loss:3.74142785
Epoch:5 Loss:3.70189355
Epoch:6 Loss:3.62774646
Epoch:7 Loss:3.51986407
Epoch:8 Loss:3.41080417
Epoch:9 Loss:3.32916699
Epoch:10 Loss:3.26859208
Epoch:11 Loss:3.21591365
Epoch:12 Loss:3.16528842
Epoch:13 Loss:3.11500902
Epoch:14 Loss:3.04241394
Epoch:15 Loss:3.00373278
Epoch:16 Loss:2.95544625
Epoch:17 Loss:2.92026762
Epoch:18 Loss:2.87447004
Epoch:19 Loss:2.81006611
Epoch:20 Loss:2.79453195
Epoch:21 Loss:2.73812901
Epoch:22 Loss:2.69621230
Epoch:23 Loss:2.64731975
Epoch:24 Loss:2.63257942
Epoch:25 Loss:2.60953547
Epoch:26 Loss:2.57133209
Epoch:27 Loss:2.52273930
Epoch:28 Loss:2.48248489
Epoch:29 Loss:2.47753358
Epoch:30 Loss:2.46369777
Epoch:31 Loss:2.41565338
Epoch:32 Loss:2.37046480
Epoch:33 Loss:2.37440364
Epoch:34 Loss:2.30812698
Epoch:35 Loss:2.30019397
Epoch:36 Loss:2.25680542
Epoch:37 Loss:2.28458808
Epoch:38 Loss:2.20198813
Epoch:39 Loss:2.20825674
Epoch:40 Loss:2.17776451
Epoch:41 Loss:2.20485363
Epoch:42 Loss:2.15703339
Epoch:43 Loss:2.12873962
Epoch:44 Loss:2.11407588
Epoch:45 Loss:2.09212371
Epoch:46 Loss:2.08698717
Epoch:47 Loss:2.09156899
Epoch:48 Loss:2.08125748
Epoch:49 Loss:2.04775116
Epoch:50 Loss:2.02048026
Epoch:51 Loss:2.00708509
Epoch:52 Loss:2.01204616
Epoch:53 Loss:1.99740033
Epoch:54 Loss:1.98564888
Epoch:55 Loss:1.97472204
Epoch:56 Loss:1.94693474
Epoch:57 Loss:1.93535632
Epoch:58 Loss:1.90551157
Epoch:59 Loss:1.90897262
Epoch:60 Loss:1.92200655
Epoch:61 Loss:1.87679794
Epoch:62 Loss:1.88504999
Epoch:63 Loss:1.89222473
Epoch:64 Loss:1.85337536
Epoch:65 Loss:1.83041813
Epoch:66 Loss:1.85466141
Epoch:67 Loss:1.83694904
Epoch:68 Loss:1.81101817
Epoch:69 Loss:1.80270499
Epoch:70 Loss:1.78035575
Epoch:71 Loss:1.81224595
Epoch:72 Loss:1.77678296
Epoch:73 Loss:1.78839575
Epoch:74 Loss:1.74738153
Epoch:75 Loss:1.74586055
Epoch:76 Loss:1.74133831
Epoch:77 Loss:1.75857722
Epoch:78 Loss:1.74208447
Epoch:79 Loss:1.69246337
Epoch:80 Loss:1.70943862
Epoch:81 Loss:1.72695704
Epoch:82 Loss:1.71642068
Epoch:83 Loss:1.67638552
Epoch:84 Loss:1.69827199
Epoch:85 Loss:1.69279015
Epoch:86 Loss:1.66339688
Epoch:87 Loss:1.65531699
Epoch:88 Loss:1.64909643
Epoch:89 Loss:1.68187697
Epoch:90 Loss:1.65162957
Epoch:91 Loss:1.64107688
Epoch:92 Loss:1.64081127
Epoch:93 Loss:1.62691207
Epoch:94 Loss:1.62538757
Epoch:95 Loss:1.60852552
Epoch:96 Loss:1.62098774
Epoch:97 Loss:1.60614525
Epoch:98 Loss:1.63394780
Epoch:99 Loss:1.61748781
Epoch:100 Loss:1.59311765
Epoch:101 Loss:1.58059740
Epoch:102 Loss:1.59966364
Epoch:103 Loss:1.56919966
Epoch:104 Loss:1.59118265
Epoch:105 Loss:1.58862246
Epoch:106 Loss:1.58580436
Epoch:107 Loss:1.56552479
Epoch:108 Loss:1.56892447
Epoch:109 Loss:1.54794623
Epoch:110 Loss:1.55834630
Epoch:111 Loss:1.52824586
Epoch:112 Loss:1.52813039
Epoch:113 Loss:1.52868484
Epoch:114 Loss:1.55442121
Epoch:115 Loss:1.52481406
Epoch:116 Loss:1.49144891
Epoch:117 Loss:1.48401693
Epoch:118 Loss:1.49803262
Epoch:119 Loss:1.51341571
Epoch:120 Loss:1.52409143
Epoch:121 Loss:1.49010874
Epoch:122 Loss:1.50943518
Epoch:123 Loss:1.49730173
Epoch:124 Loss:1.48999489
Epoch:125 Loss:1.47342474
Epoch:126 Loss:1.49024619
Epoch:127 Loss:1.46929822
Epoch:128 Loss:1.48800514
Epoch:129 Loss:1.47548736
Epoch:130 Loss:1.45641100
Epoch:131 Loss:1.47109288
Epoch:132 Loss:1.45543238
Epoch:133 Loss:1.47472040
Epoch:134 Loss:1.47635487
Epoch:135 Loss:1.47223632
Epoch:136 Loss:1.45790502
Epoch:137 Loss:1.46690333
Epoch:138 Loss:1.43278669
Epoch:139 Loss:1.44165639
Epoch:140 Loss:1.42992874
Epoch:141 Loss:1.41166649
Epoch:142 Loss:1.40843664
Epoch:143 Loss:1.41212470
Epoch:144 Loss:1.45298708
Epoch:145 Loss:1.45444983
Epoch:146 Loss:1.42664205
Epoch:147 Loss:1.39408769
Epoch:148 Loss:1.41123565
Epoch:149 Loss:1.40951467
Epoch:150 Loss:1.40489303
Epoch:151 Loss:1.39569159
Epoch:152 Loss:1.42516648
Epoch:153 Loss:1.40499894
Epoch:154 Loss:1.36828248
Epoch:155 Loss:1.38806152
Epoch:156 Loss:1.38700349
Epoch:157 Loss:1.35432823
Epoch:158 Loss:1.38608787
Epoch:159 Loss:1.38637139
Epoch:160 Loss:1.35575155
Epoch:161 Loss:1.36574833
Epoch:162 Loss:1.38855694
Epoch:163 Loss:1.37008352
Epoch:164 Loss:1.35784877
Epoch:165 Loss:1.35517508
Epoch:166 Loss:1.36820012
Epoch:167 Loss:1.38354362
Epoch:168 Loss:1.32759146
Epoch:169 Loss:1.35196043
Epoch:170 Loss:1.34826255
Epoch:171 Loss:1.32200901
Epoch:172 Loss:1.35009591
Epoch:173 Loss:1.30645371
Epoch:174 Loss:1.31911926
Epoch:175 Loss:1.33313917
Epoch:176 Loss:1.35653586
Epoch:177 Loss:1.29307258
Epoch:178 Loss:1.29377116
Epoch:179 Loss:1.33691580
Epoch:180 Loss:1.27944335
Epoch:181 Loss:1.31318754
Epoch:182 Loss:1.30584283
Epoch:183 Loss:1.31350805
Epoch:184 Loss:1.30185996
Epoch:185 Loss:1.30310729
Epoch:186 Loss:1.31513393
Epoch:187 Loss:1.32168406
Epoch:188 Loss:1.30595396
Epoch:189 Loss:1.32027553
Epoch:190 Loss:1.28946252
Epoch:191 Loss:1.30622858
Epoch:192 Loss:1.28236637
Epoch:193 Loss:1.27883134
Epoch:194 Loss:1.27527375
Epoch:195 Loss:1.28009917
Epoch:196 Loss:1.27819100
Epoch:197 Loss:1.25807600
Epoch:198 Loss:1.29924948
Epoch:199 Loss:1.25612398
Epoch:200 Loss:1.27398559
Epoch:201 Loss:1.23995362
Epoch:202 Loss:1.26884216
Epoch:203 Loss:1.23139487
Epoch:204 Loss:1.26121398
Epoch:205 Loss:1.26252266
Epoch:206 Loss:1.26219564
Epoch:207 Loss:1.25430004
Epoch:208 Loss:1.26989365
Epoch:209 Loss:1.25815334
Epoch:210 Loss:1.24145780
Epoch:211 Loss:1.28744718
Epoch:212 Loss:1.23772845
Epoch:213 Loss:1.24175369
Epoch:214 Loss:1.24367202
Epoch:215 Loss:1.24459097
Epoch:216 Loss:1.24725963
Epoch:217 Loss:1.23204860
Epoch:218 Loss:1.24244750
Epoch:219 Loss:1.24088239
Epoch:220 Loss:1.23060788
Epoch:221 Loss:1.23715607
Epoch:222 Loss:1.20314369
Epoch:223 Loss:1.23386039
Epoch:224 Loss:1.20775491
Epoch:225 Loss:1.20500118
Epoch:226 Loss:1.22659656
Epoch:227 Loss:1.20243669
Epoch:228 Loss:1.17349649
Epoch:229 Loss:1.21043724
Epoch:230 Loss:1.21137841
Epoch:231 Loss:1.18472832
Epoch:232 Loss:1.20707736
Epoch:233 Loss:1.18881135
Epoch:234 Loss:1.19944412
Epoch:235 Loss:1.19284420
Epoch:236 Loss:1.16891576
Epoch:237 Loss:1.19161535
Epoch:238 Loss:1.16069936
Epoch:239 Loss:1.16229489
Epoch:240 Loss:1.19277537
Epoch:241 Loss:1.18290822
Epoch:242 Loss:1.21657133
Epoch:243 Loss:1.17490526
Epoch:244 Loss:1.15082106
Epoch:245 Loss:1.18631210
Epoch:246 Loss:1.19758451
Epoch:247 Loss:1.14384291
Epoch:248 Loss:1.16662170
Epoch:249 Loss:1.16252295
Epoch:250 Loss:1.12922232
Epoch:251 Loss:1.17096260
Epoch:252 Loss:1.11109647
Epoch:253 Loss:1.15664373
Epoch:254 Loss:1.15472370
Epoch:255 Loss:1.14321139
Epoch:256 Loss:1.14821627
Epoch:257 Loss:1.12703725
Epoch:258 Loss:1.13022572
Epoch:259 Loss:1.13695755
Epoch:260 Loss:1.14101894
Epoch:261 Loss:1.13693718
Epoch:262 Loss:1.15208680
Epoch:263 Loss:1.13040485
Epoch:264 Loss:1.13142145
Epoch:265 Loss:1.14280217
Epoch:266 Loss:1.10573963
Epoch:267 Loss:1.12360755
Epoch:268 Loss:1.12821299
Epoch:269 Loss:1.11098516
Epoch:270 Loss:1.13295676
Epoch:271 Loss:1.09999258
Epoch:272 Loss:1.13475600
Epoch:273 Loss:1.08650688
Epoch:274 Loss:1.13350818
Epoch:275 Loss:1.11563669
Epoch:276 Loss:1.11453409
Epoch:277 Loss:1.08470235
Epoch:278 Loss:1.11028486
Epoch:279 Loss:1.10602670
Epoch:280 Loss:1.11352505
Epoch:281 Loss:1.06909143
Epoch:282 Loss:1.09585574
Epoch:283 Loss:1.07773356
Epoch:284 Loss:1.09452280
Epoch:285 Loss:1.09175717
Epoch:286 Loss:1.09201510
Epoch:287 Loss:1.06326146
Epoch:288 Loss:1.09037652
Epoch:289 Loss:1.05938839
Epoch:290 Loss:1.06823775
Epoch:291 Loss:1.08317552
Epoch:292 Loss:1.07774119
Epoch:293 Loss:1.08701108
Epoch:294 Loss:1.09445242
Epoch:295 Loss:1.08563162
Epoch:296 Loss:1.09018633
Epoch:297 Loss:1.07883633
Epoch:298 Loss:1.06163701
Epoch:299 Loss:1.07774337
Epoch:300 Loss:1.07192933
Epoch:301 Loss:1.06882579
Epoch:302 Loss:1.06764841
Epoch:303 Loss:1.07624766
Epoch:304 Loss:1.08357940
Epoch:305 Loss:1.07424121
Epoch:306 Loss:1.04736696
Epoch:307 Loss:1.05956754
Epoch:308 Loss:1.03172452
Epoch:309 Loss:1.06516071
Epoch:310 Loss:1.03457642
Epoch:311 Loss:1.04816653
Epoch:312 Loss:1.04249933
Epoch:313 Loss:1.04062568
Epoch:314 Loss:1.06267073
Epoch:315 Loss:1.03757127
Epoch:316 Loss:1.03946992
Epoch:317 Loss:1.00362430
Epoch:318 Loss:1.04323172
Epoch:319 Loss:1.02462605
Epoch:320 Loss:1.03837230
Epoch:321 Loss:1.04322874
Epoch:322 Loss:1.04627067
Epoch:323 Loss:1.01655236
Epoch:324 Loss:1.02905341
Epoch:325 Loss:1.02772837
Epoch:326 Loss:1.02013958
Epoch:327 Loss:0.99636175
Epoch:328 Loss:1.01711363
Epoch:329 Loss:1.01031563
Epoch:330 Loss:1.00187253
Epoch:331 Loss:1.01875334
Epoch:332 Loss:1.02258626
Epoch:333 Loss:1.00202791
Epoch:334 Loss:1.01403198
Epoch:335 Loss:1.00786944
Epoch:336 Loss:1.01074051
Epoch:337 Loss:0.99718856
Epoch:338 Loss:0.99326956
Epoch:339 Loss:0.98814918
Epoch:340 Loss:0.99478997
Epoch:341 Loss:0.97424404
Epoch:342 Loss:0.98067358
Epoch:343 Loss:0.98809871
Epoch:344 Loss:0.98688420
Epoch:345 Loss:0.97127666
Epoch:346 Loss:0.97114540
Epoch:347 Loss:0.99854569
Epoch:348 Loss:0.99531157
Epoch:349 Loss:0.98088432
Epoch:350 Loss:0.98191788
Epoch:351 Loss:0.96837115
Epoch:352 Loss:0.97529519
Epoch:353 Loss:0.98429639
Epoch:354 Loss:0.98585687
Epoch:355 Loss:0.95928158
Epoch:356 Loss:0.98398232
Epoch:357 Loss:0.97945010
